"","mbtiVector","diplomatVector","wordVector"
"1","enfj","diplomat","there is no moisturizer like photoshop where are amp this morning w their jesus is in the white house banning muslims rhetoric because the jesus i know i love my people i can t even breathe reading this thread i have to turn off the internet machine for the night lol look for the helpers you will always find people who are helping i could actually drop a tear but i m really tryin to be hard but if i wasn t i could cry but i won t oooo ju so glad you can recognize the ugliness dear that fair even if our presidents have hurt you know that there are people here fighting to stop that to support you i m tired of blaming i m ready to start working organizing moving forward progress my pleasure patty standing with you together against hate you re beyond welcome i m really sorry big hug individuals may spew hate but they don t represent us all we stand for you with you alongside you big overseas hug you were represented as well big long distance hug they shouldn t that not what we fight for we fight for everyone even those that hate mistreat misconstrue etc even him i hope our muslim brothers amp sisters worldwide feel the love of the american ppl tonight it long overdue what happens when a room full of inexperience meets immense power love everyone jarrett love everyone jarrett love everyone jarrett yes twitter hell no house gop quietly closes investigation into flint water crisis late important read well don t forget that all lives matter or whatever detainees released from u airports i love it bay area protestors said hell to the naw to thejoined a most golden tweet reminds me of my favorite meme no one is an alien we are all humans we are a nation of immigrants fromlos angeles your use of the phrase hillary promised immediately followed by something she never said indicate an word emphasis a little yes i hope and pray we can continue showing up resisting organizing amp demonstrating like we have in the last week an can you find a or the person of color here all those women oh btdubs trump just broke a record set by obama for the most executive orders in the first week read repubs acted as if obama created amp excessively used exec orders in fact he signed the least since cleveland dozens of ppl detained at jfk airport over trump exec order so airports are basically becoming mini guantanamos now oh ok i don t care how you voted it irrelevant now but christians if you support muslim nation bans you really need to find a new faith i ask the nations of the world allies and enemies alike to remember that a majority of americans didn t want this or vote for that man am i the only one always weirded out by his enjoy exclamation when he doing a show as if he putting out a f this makes total sense since we know that of immigration in america is foot traffic this pointed it out but listen to trump give a teleprompter speech it sounds like he hearing it for the first time along with us the devil wears prada will be a musical can t wait watching theand kind of stunned that we re approaching february and still have so much election discussion from this president what the white haired crazy fbomb just happened i m exhausted i need a glass of wine and popcorn i m with you there that disgusting shonda will kill you off in a second without so much as an xoxo abby translation i m thee baddest you ll do what i had said mmk thanks wtf huma and hillary crowded around a boozy bathtub i could totes see this am i the only one feeling like at least we get a make believe hillary the inside story out of this this is almost too close to home i m in my feeling like a mutha right now this slow walk that fitz always does be killin me wtf trump pressured park service to find proof for his claims about inauguration crowd awesome time talking to my fellow falcons u were awesome man thanks for the great questions looking forward to some great things from you man we ll work on assignment spent most of the day away from social media speaking to high school students my trump push alerts look like a country circling the drain his bvds are in a friggin bunch oh great so it begins readies for the tweets he apparently saying big league but it sounds like bigly i m not one to tell ppl how to protest were it i showing up wld prob feel most effective i m sure she could get in"
"2","enfj","diplomat","it ll dry again in minutes methinks thanks to all of you who donated chan oh you f ker congrats you win the illuminati internets que suddenly out of nowhere rain honest true then still true today in every way by any means necessary resist actually just one large obscenity who keeps his office in cronulla and none of them are really appropriate for an open channel it even more surprising morrison said it in english instead of the original german no words if we do kiss all the birds and bats good bye yes i plan on getting into the fridge ok so it already one degree warmer than the forecast high weaponised confusion per hypernormalisation is a fine cover for all sorts of unholy activities the trains they will run on time i hear there a sale on brown shirts at djs thread and a lovely one too oculus sensors are technically hackable webcams gotta get work done closes twitter with a silent prayer that things don t go any more pear shaped chemtrails r reals and now you see my dear friends why i wanted to get in and out of the usa before shitler took power checks closet for supply of brown shirts good morning sydney hotter than hot as quite toasty oh i suspect it grifters grifting in his name wow comedies are always at a disadvantage sergey brin at sfo with the protestors yeah well lawyers love ambiguity when it favours them so it sounds like they will comply listen if princey wants to go down fighting i m alright with that didn t dhs issue a statement an hour ago indicating they d honour the stay i ve just put it in my tl ping hmm maybe there a reason to like prince charles after all the thanks are all mine ok i ve seen la la land it complicated withafair bit ofthrown in for good measure lol more mcluhan and toffler and william irwin thompson i m a futurist trust me on this yes well and the defederalisation of the united states begins correct and that why i reckon impeachment is not the way to play this at all"
"3","enfj","diplomat","sept omg nooooooo i think it a orly gel i don t remember i feel like he wasn t really acting here amp now i want that danish cream always rises to the top it did for me amp you so anything else is a bonus yay same cuz i wanna pace myself wow mmhmm toes are bright pink i should do this more often i m so boring with nail colors waaaay too much thank you i m starting now her friends are terrible ever yup thank you they were my vacation nails going back to a dark color this week lol no thank you came back from vacation ready to get my shit together but first a nap cry ing i started watching search party on the plane yesterday amp i kinda love it watched more eps on the firestick las how adorable is this gif tho they were babies there were curvy girls back then too trust me introduce me to your b tch as wifey smash there are really good ones that twitter won t let me attach amp i can t find them on giphy womp still be playin with pots amp pans call me quavo ratatouille yah yah yah yah yah yuh are you sure dracula bad amp boujee another one here are a few for you to watch if you decide to do this sn this one also works with caroline if you re in need of a little self care i recommend watching soul train gifs while bad amp boujee plays right ummmm af lmao yeah that coulda stayed not tweeted lol nawl af again oh wendy you sweet soul i ok lol the last sentence beautiful photos wow this is gorgeous this is great they re so little they got us on nov th or whatever day that was it seriously wild oooh that sucks as with most boycotts i get it too tho oh gotcha well let me know how you like them i can t get my hair wet"
"4","enfj","diplomat","udahan ah udah capek berharap kok kzl y gak ngerti lagi ya kemarin bilang bosen sampe unlike postingan hari ini posting itu lagi sigh untuk english screening test ini nanti dibedakan antara ielts dan toefl bagaimana ya saya dapat tiket lah kamu udh daftar tp blm daprt rsvp udah daftar pamerannya aku malah blm daftar pamerannn sal ikut lpdp kak pengumuman peserta yang dapat mengikuti tes toefl ielts kapan ya i just cant understand you sorry for not being perfect i know i shouldnt feel this way but i really am feeling like i am just a robot stop being that way when you dont mean it because it gives me hope and i know i shouldnt have even single hope just please stop acting like you care chat me suddenly give me what you called as holiday suplement because i know that all those things are false hopes why would you make me expect for more than just a senior junior relationship it hurting me please just stop doing that i dont want to see you to be the first one to like almost all of my facebook posts whats the point why would you like my post on facebook and then hours later you unlike it i just cant understand you i m going to start my midnight rants in do you think i didnt notice what you ve done to me hi i d to come to gmasa tomorrow but haven t bought the tix can i buy it on the spot tomorrow sal kamu pasti ketawa kalo aku kasih tau what i just did sal why am i so baka why am i so embarrassing i just did something stupid ahahahah lucu tapi gak ketawa awas perasaan gabut akut dapat menimbulkan gejala iseng yang berujung pada penulisan puisi alay ituuuuuuuu speaking class wkkwkwk the future of toilet my cant you just do something that so annoying so that i can start to get away from you and avoiding you iya aq maafin quq astaga kan w udah bilang di jogja juga ada depok cowg why do i feel like you re taking a revenge on me paan lu i wish more than just a boss i wish more than just a senior i wish you know that then what are we if even you disagree with the idea of me calling you as my boss you dont even know me well and you dont want to know me well we havent even talked in person we just met and stared and that all you cant just order me to do something and disappear i have my way to do anything i wanna do on my holiday i have life mancabbbbb namti pulang kesanaaa line i chatted you i knew you were online but you didnt give any reply go on and keep avoiding me you shouldn t have protested when i called you boss when the fact is that you did order me to do something well if it true then why would you try to speak casually like as if you want to get closer i notice you building a wall between us two by keep on saying that you re old"
"5","enfj","diplomat","i woke up down on nyc but then i walked by seinfeld at work and he said how ya doin it chill rip pauline oliveros died today at experimental musician and pioneer of deep listening get into it update casually mentioned my judaism and wagner was replaced by bob marley lol sitting in a bar alone and they re playing wagner at top volume in battle nothing is ever as good or bad as the first reports of excited men would have it field marshall viscount slim now more than ever i m not the ex breitbart ben shapiro bully is a synonym for fascist that is about as near to a definition as this much abused word has come george orwell just heard trump protest is stretching nearly blocks from trump tower to th street yes you did just create a massive group of professional protesters currently scheming to change my life to make don t ever retweet trump screenshot if you have to donate to planned parenthood today this takes less than one minute of your time upstairs if you need us i m embarrassed i ever thought otherwise for the win yep was chill fucking lol trump parody accounts withdrawing tfw your ideas are stolen currently toppling the acropolis of monstrous hypocrisy that ensconces us idk why but i m feeling these photos of the current amsterdam heatwave tfw you do a google search for relaxing image currently drinking a sea plasma martini at dimes shamen brother is guided medication a thing mood i live my broken dreams by daniel johnston i don t play video games but hyper light drifter has been taking up a lot of my time absolutely gorgeous game i really love writing i retract this statement it cuz my boxes of shit from complex finally arrived sudden feeling that everything is gonna be ok wings came on my spotify and i immediately thought of quid pro quo doctor cc brandon stosuy keeping kickstarter goth happy for you friend cc lol just seeing this haha free business idea a still bottled water company called sans pellegrino eh eh oh my god rip prince haha if my yo self only knew i d get to talk to jamie fromabout twin peaks for the idk why i read like five paragraphs and i got kind of sick has officially filed for bankruptcy lol diff ben shapiro hell yeah i always get mistaken on the internet for that transphobic fringe right weasel rt if you still rly like new york a lot iif you ve goton your tv turn it on me and documentary on black plague in madagascar is playing privacy is the line we continually negotiate between ourselves as unique creatures of god and ourselves as social animals michael hayden morricone gets his due same moresound art harsh noise power electronics happening rn bb working in midtown endless parade of barbour jackets let go ahead and get this thing done if you re not watching obama outline his historic plan to shutter guantanamo you probably should right now according to the serving size i have personally consumed servings of sriracha in my first days at żuławski was without a doubt my all time favorite filmmaker i see more depth in the world because of his art rip to visionary polish filmmaker andrzej żuławski director of possession szamanka more the world is worse off i want everything but the lakshmi singh never thought i d be on a twitter chain about a head full of ants with you two fine gentlemen one of the drawbacks of liberal democracy included among its freedoms is the freedom to forget what once threatened its existence james the problem is that long form stories are too often celebrated simply because they exist on the awful self loathing lit fic book trailer yesssssss"
"6","enfj","diplomat","federal judge grants stay on deportations after trump executive order on holocaust remembrance day trump repeated america mistakes pain doctor under investigation in alabama leaves patients moves to tennessee clinic birmingham water works bills a public crisis alabama star players recall star struck moment meeting nick saban as recruits alabama sex trafficking survivor sueschoice hotels dothan hotel owner legendary sportscaster brent musburger announces retirement wants investigation into leaks about ethics investigation has anyone estimated the cost oftrip to rome jeff sessions says he won t recuse himself from potential trump investigations a birmingham favorite the lyric hot dog is back thousands parade through birmingham streets for alabama women march trump inauguration attracts million viewers fox coverage beats cnn msnbc see inside the pizitz as development nears completion talladega college band rocks trump parade social media alabama media group names director of social media spanish fort girls basketball coach dies in interstate crash howis feeling live coverage of trump presidential inauguration watch obama welcome trump to white house why not can you imagine your first day as president can you imagine your last night as president i think you mean fidel potus so tomorrow does youravi turn to human leg found in trash bag in lee county creek huntsville daycare to close amid allegations of giving children sleep aid bo davis speaks publicly for first time about alabama departure ncaa investigation fairfield high year old senior shot to death on way to school so the argument for voting steroid era athletes into a hall of fame is this everyone was doing it so why not keep everyone out an open letter to trump from the us press corps i love you but no i won t my kids are amazing i don t care how old they get they will always be my babies downtown birmingham publix sets opening date greg byrne could be a nick saban like hire as alabama next ad"
"7","enfj","diplomat","notably fuhr won four stanley cups in five years and the all star game mvp was during bridge year is the first black nhl player to win nhl all star game mvp sincedid so in as a member i just choked my heart is extremely heavy reading and viewing the effects of the ban my heart is also lifted by people standing up for others really wishculture album was around when i was learning onomatopoeia in school best teachers hands down noted yassss y all are glowing walked outta heaven we both know the answer to that how on earth do you not mention the most afflicted group in the remembrance day"
"8","enfj","diplomat","bless you couldn t even look up which stds have burning assholes as a symptom read the thread you lazy shit fuck is this i didn t respond to your dumbass to get such a shit lazy come back hahaha you had me at tuck but seriously you re a fool i don t march i set fires do what you re good at t how about be good enough at your job to not get it taken from you looks like fire feels like fire suck my balls not angry at all i just laugh at y all ass hats and there n ass hat thanks the point was that the sun is hot got a correction for me there or you done go follow rebecca correction teachers there are stupid questions they coincidentally come from stupid people was so much fun yesterday the energy was electric amp it was great being around my your fire alarm is sensing the same thing bro happy disneyland california adventure best grits ever beola southern cuisine ed herr animé los angeles not gonna lie i was pumped to meet him but vader was a punk kinda disappointed but at least i ve wanted to cosplayfor a long time feels good in thisjacket by the are you in yet in hermoine begins please the tiny arrow is his dick trying to get in it it been a jedi week for me how bout y all elisecreyes hollywood and vine my pleasure ok i really should ve picked the batman forever batmobile but we had just watched amp i only drink coffee for the creamer yea everything is is made in china right thanks it my favorite shower cap is today amp though i wasn t alive at the time my empathy still reaches out always with so many grains of salt we were gonna be the notebook but you decided i should be ryan gosling in la la land amp fuck that stupid shit had a blast with elisecreyes at amp we destroyed the king fu panda oh the dear ear bud condoms are the bane of my existence my existence is pretty good but seriously t when do we start calling him the joker tho no one else doing shit like that but sean archer god you re too good best lines in comics end game appreciate everyone playing now seriously everything burns ask the ball of fire that rises in the east every morning real americans only love everyone for free everything else is top dollar learn yourself some love best compliment ever arigato you don t take anything seriously johnny amp that the problem no susan i take flamin pretty great time with elisecreyes amp nerdbotmedia at dave amp buster i am the night i m also late for i am still the night tho is on his your retard i rest my case also everything can burn shit stick liquid magma with my on stage family inas eugene dwayne i m not gonna lie when i first found thatvideo i prolly watched it like x that i ll burn it down for free it is when placed where i placed it always a word tho excuse had to teach the gryffindor wizards how to wall merge fag isn t a popular word but it sure is a fucking word if it in the dictionary it should count meeting amp performing for this legend today respect will always look good on you your help link isn t working how do you verify an instagram account please and thank you no not a show that i m a fan of tbh for beautiful eyes look for the good in others for beautiful lips speak only words of my favorite thing to do when playingis to completely exit the app whenever the ads play amp restart saves at least seconds i love how jason is just staring back at the shooter tho i always wonder what her final thoughts were in my world it wasn t this tho please be kingdom hearts lololololol dude got meitu d never fails warped premieres all this week every night on i will be attending put on by the glory that is nerdbotmediathis thursday and finally the burglar there always a criminal in there somewhere the la actors who ask other actors at their audition if they should take in their sides or not are the actors who should not be la actors i made iggy that way not the other way around and next on today sis a stoner gonna have to use my deepest of acting no paint some bts looks at myphoto shoots from with jackofalltradesx amp thanks i grew them myself multiple auditions today first up as a hipster so i combed my hair stupid ding lookin good yowza my vote goes to ya bro tho you know lakers fans are diehard after that point spank it was pretty dieeasy tho"
"9","enfj","diplomat","general james n mattis making america safe again merging vets players alpha jetman human flight and beyond k wreaths across america veterans day the unknowns ssg reckless the most dangerous job in the world class j a warrior workout suicide prevention for women vets lz margo the dead went last dallas police chief david brown for president our best wishes and thoughts go out to the houston pd officers killed and wounded last night happy th birthday to our grand republic happy fourth rest in peace elie wiesel the battle of the little big horn vietnam chopper pilot to receive the cmh william henry ferrucci never forget any veteran just a common soldier jacob feazel art project memorial day weekend with deep respect and regret for our brothers and sisters who did not r chief warrant officer ronald perez he works as a custodian at wpi and will soon be a graduate auburn ma police officer ronald tarentino dies wounded veteran charlie linville summits mount everest wwii oldest living veteran national police week washington d c jaon riley navy seal charles keating iv home again special operations troops to syria darlette scruggs soaring valor duane dewey clarridge a spy for all seasons lucca a true hero new iraq war veteran hitch cover combat infantrymen association note pads va state trooper chad dermyer vietnam veterans day operation desert storm desert shield veterans challenge coin carrier ships together the other side of the thin blue line wwii pilot shoots down japanese aircraft with a airman magazine video rest in peace officer jacai colson a different perspective on veterans today is band of brothers day bad ass unit army veteran taylor force mrs nancy reagan arlington national cemetery cemetery watchman black lives matter va demands proof world war ii combat vet with purple heart served in military the old guard at arlington nation cemetery rest in peace semper fi missing marines live to tell missing man table primary candidates master sergeant joshua l wheeler help for veterans and veterans families the unknowns rest in peace lt joe gliniewicz the main stream media hard at work the high ground a sad day for the army rifting sfc martland congratulations to captain kristen griest and st lt shaye haver the army first women recipient university of south vietnam college of warfare golf shirts sizes small to extra large university of south vietnam college of warfare golf shirts xl war zone wear embroidered golf shirts for combat veterans amp xl wishing a speedy recovery to the marine and police officer wounded in chattanooga tn today sympathy thoughts and best wishes to the families loved ones and friends of the four marines murdered and wounded today in chattanooga tn we made it to arlington trace adkins happy independence day so if the law had read an exchange established by the states plural would that have made a difference in the ruling angel flight veterans and als"
"10","enfj","diplomat","anytime i hear boyz to men i go back to my th th grade crushes those question and answer sessions were painful to watch but i think miss hati just snatched the crown you re welcome you re good it all about how you use the energy mine is th so right there with ya lol not at all it all about how you use the energy i m being somewhat sarcastic too lol seems to be that way don t be suprised if you start seeing people lose their minds there is full moon lunar eclipse feb that correct the dark moon phase is powerful for releasing what do you like when your suspicious someone is doing magick on you and this is the first song that comes on your playlist haha this is that guys combo keeper due to its retrograde mercury was also conjunct pluto dec themes related to this time may pop up but will be thought abt in a new way the ability to understand the supernatural is also much stronger now there often an ability to see the hidden meaning behind something thoughts and communication are more intense when mercury is conjunct pluto there a tendency to want to dominate change way of thinking it a good time to investigate or use your mental strength to see beneath the surface to find the truth focus and intuition are stronger mercury conjunct pluto pm et secret or critical info may be communicated or discovered today that has a powerful effect on thinking thank you thank you how do you put up protection that sucks i m going to sage my space tonight oh i m getting a big black obsidian then i don t know about crystals well enough to offer any suggestions based on your chart i m sorry unfortunately i know a couple of others thanks lol okay so far maybe she not but there are several odd coincidences it not my first time thinking this thank you good to know i wear my grandmother black onyx ring every day onyx repels negative energy but i might need to step it up by carrying a black obsidian i m woke this sounds crazy but i m sure this girl is doing black magic on me bc too many coincidences i ve never touched it because bad karma the angle opposite the ascendant it signifies parterships of all types the other open enemies all you need is this because midpoints are already calculated you just look up their interpretation you don t need to know much about astrology to do them gonna do a quick video on midpoints sometime soon i get lots of about them but once you understand so easy you have mars on my descendant lol it like having mars in aries in any of the other degrees a fighter go getter being first oh no that sucks that happened to me this weekend too get some rest mary tyler moore was so pretty he a creepy gross old man for sure i would have to see both charts together to give an accurate assessment of compatibility prob good dating happened post retro yep over it bad experience lesson learned on to the next one lol so the new moon was on venus saturn midpoint but it still getting stronger i think it strongest today but have to check no they are all current meaning able to be felt because within a degree orb but they re listed from strongest to weakest no i don t think it matters but the void moon is a good time to sleep or nap if you can or want to until am et oh wow i didn t know that sounds like he has some unconscious self hatred happening too opinionated asf i try not to get too political and be careful about not offending people bc everyone sees the world differently but sagittarius moon how are you going to sign an executive order for an immigration ban when your own wife wasn t even born in the us hypocritical much aw i m sorry does donald trump not know the majority of the attacks mass shootings in the us are carried out by people born in the us mars at aries triggering the world axis saturn in sagittarius luna is void in aquarius until entering pisces at am et relax until the moon changes signs and the cosmos are working in your favor i know crazy right lol ps just checked out your site dope lol thank you beautiful lt with mars at the aries point energy related to action assertion desire anger sexuality impulsivity has potential for public projection natal planets aspecting the aries point cardinal signs can indicate fame noterity recognition as its energy is publically projected the aries point represents the most impersonal but also the widest social contacts one relationship to the larger world around one hand mars is also currently at the highly sensitive aries point aries st degree of the zodiac where the personal becomes public mars action moved into home sign aries early this morning until mar here energy is impulsive bold courageous spontaneous pioneering stars don t lie ever current midpoint forecast the new moon midpoint is in bold the interpretation for north node at the uranus pluto exactly girl i already forgot him like yesterday and thank you lol i think it both thank you for your heads up should ve listened thank you yes i believe everything happens for a reason yea y all savage asf haha got a few hours of sleep feeling tho me too love eric clapton aw i m sorry i m good on that combo like forever oh yea mars in virgo is on the ascendant"
