"","mbtiVector","diplomatVector","wordVector"
"1","enfp","diplomat","look i don t wanna cause any friction here but nothing gonna stop me from pursuing my dreams he that muscular black man in old spice commercials white girls and many other things requiring a large black man and that terry crews my happy dance in response to your praise i attempted a non sequitur i honestly had no idea what a non sequitur was so i googled it and stuff and bam exactly lolol lolololol love taking car rides with bae sometimes i ll notice a mannerism or quirk someone does that i like or find funny and then steal it and put it in my repertoire of quirks i think so infjs are the true mvps of the stalking world but enfps are way too observant for their own good sometimes i wish i was less aware and more ignorant so i wouldn t be as stressed about the world but then i throw up and it all better i know way too much about people i ve hardly interacted with hi heidi any good recommendations for infjs to help figure themselves out better cause y know they need it i don t think people realize that while i naturally do become the center of attention it doesn t necessarily mean i always enjoy it lol because i m a dude because history shows that societies where women have more rights are always better off so it just makes sense yeah cause if they were originally you wouldn t be president thats where i m sitting right now lol me thinks about how awesome food is me cries where i hate and love that i m one of the type of people were current events affect my mood wut you should probably let it go then me sees dog me unintelligible shrieks of joy person hey we gotta talk me person me panics now go clean your room or we re taking your internet away magick minor inconveniences happen me i want to see the world burn me perfect days don t exis me sleeps in works out binge watches netflix spends time with people me nevermind small whisper except dogs you can t technically make old friends making new friends literally gives me life there nothing better i just realized that april ludgate is basically that voice in the back of my head telling me to do say things that i repress i got spaghetti now i m happy nooooooooo but anyway how can you be think that way when dogs exist i disagree you pessimistic ninny so it is friday the th but other than that idk what youre implying today is one of those random sad days it is a thing carbs or protein you choose anyway thanks for giving me a dream friend it was a pleasure i m not even like the biggest fan of ed sheeran though he us very talented so i wake up feeling really happy that i found a new best friend in dream ed sheeran and it was cool but then he was like mate i just need to talk with you and so we went out and we talked and bought new pokemon games together and then we hung out and eventually he wanted my sister to cut his hair and then she did and it was the worst haircut ever and so then he came over and we had a bunch of platters out for food and he got really excited he was like mate do you know who i am so i went and got coffee and like he just really wanted to come over and i asked him over the phone if he liked coffee i had a dream that involved ed sheeran last night apparently he wanted to hang out and i was staying in a city apartment with my fam character in tv show cuts fruit aggressively oh they must be the bad guy yo mr president what your mbti type think you might be an enfj but i m not sure pasta is life it true it true i get insecure about how hyper i get and beard game is strong i work with parks amp rec here in my city cause like i claim he is my spirit animal honestly the best compliment i ve ever received i am crying do you know me irl my favorite things are dogs food and naps gosh if i didn t have to make a living wage my life would be so much simpler pasta is life idk how anti glutenists do it i woke up like dis yeah haha correct thanks my mom made it for me"
"2","enfp","diplomat","omg i forgot about that dumbness just legend being a legend much love sack the fuck up cc it felt so so so good too gt gt gt become a freedom fighter join the intensity level when talking politics with family amp friends booming chant at pittsburgh international airport where is toomey where is toomey action action we want action my bet is thatwill be the next democratic star terrific advice pittsburgh airport protest today beginning at pm totally you know those fucks ain t in church really hope president bannon takes a day off from his assholery rest bannon put your bloated feet up do a speedball whatever this is a terrible week before book deadline mmm yes sounds great but curious to know your beliefs re employing misogynist and islamophobic employees like completely hear you i m sure that why she was able to be so poised and strong and present is very sorry he really regrets showing his true colors today if he could go back to being a secret racist he totes would you are garbage he also this guy amp guess what he very verrrry sorry for having been caught being a human shit stain too little too late did you see the video he completely invades her personal space calls her a bitch he is a monster that robert koehler everyone from columbus ga employee of islamophobe mysognyst all around fuck face his quick thinking to say he was from detroit was a lie clearly update rob the harasser of muslim women has been found so please help us find rob from detroit who was in atlanta today and make sure what he put out there comes back to him i want to find out who this mysognist ahole is and show him what it feels like to be harassed a friend of a friend was harrased today for being muslim she recorded the exchange please share yeah i already reposted there under my married name i m so sorry again that this happened to you i want to get this guy i want him to be fired i want women to point and scream and humiliate him cc cc listen to the cancel vote on sessions atty gen nom based on his reported involvement in executive please everyone this thread right now like i think i could lift a car by myself i just shared a video on fb of my friend friend being harassed by some fat white fuck because of her hijab have never felt so much rage will you put that terrible fb video up here so i may help share yes this is a hate crime this is a hate crime this is a hate crime this is a hate crime this is a hate crime shame on us shame on us shame on us shame on us what i do for this country they put the cuffs on mr darweesh said you know how many soldiers i touch by this hand gt shame on us thank god for the it hard to share this but to tackle islamophobia head on we need to understand how systemic it is i am posting and sharing now don t just tweet your rage volunteer with your local refugee resettlement program pittsburgh yours is here ughhhhhhhh vivi stopped by my office to bring me dinner and an iced coffee"
"3","enfp","diplomat","be not so fearful you learn something new and depressing every day migos rapped a children book it funny but it makes perfect sense watch jeff tweedy joins portlandia in skewering the industry love of lawsuits bob mould on hüsker dü cover of the mary tyler moore show theme there was no dressing involved does eating a salad with your fingers while sitting and crying in your car rock bottom asking for a friend have you been holding it in and need a good cry this ll do it so sorry about this we re trying to figure out why it doesn t always show or does for some but not for others just once i d like to hear a blues song start with i stayed in bed i mean how many start with woke up this morning there is love and beauty in the world we share some of it on this wk p cast great music club in dc is hiring i m stumped you sure it started with j in the collage that taylor kirk of timber timbre neither people are beautiful one of the best angles showing the crowds yesterday other way around i want to hear the band bob loves the sing alongs preach transcript and analysis president trump inauguration speech for the inauguration trump music picks look a lot like richard nixon well no is nothing ever easy oh jeesh i ll have to give it some thought no matter how bad your day or job may be it isn t this gurgle watch icymi sturgill simpson destroyed on snl over the weekend the soul gonna speak run the jewels stares down a fraught talking politics and sociology with killer mike before today tiny desk will go down as a life just had a lengthy discussion with my wife about why this was the greatest jingle ever upcoming laura marling album slays me unlike any of her previous work check out new cut wild fire lord how did years pass on this one still holds up tho interview julien baker signs to matador shares new song watch angel olsen perform give it up in a bronx church sigh hard to believe either or is turning excited for these unreleased tracks so many emails i ll see what i can do while you re at it find me one that has sparklehorse and grouper there both a spotify and apple music version a dreary day in dc this makes it better new year eve never really cared for it it one of the all time great vids one last amp from before it drops the mic and moonwalks out of here giving us all the finger pretty much everythingwrites is required reading squealed with tears in my eyes first time i heard this in the early it holds up santaland diaries have i mentioned how much i love grouper check out her new winter solstice song headache welp we ve done it again another holiday extravaganza this time with and more theof beloved artists we lost in was beyond gut wrenching yes a grateful nation thanks you so was that ad libbed sawtoday my one word review relevant pleasantly surprised but the album listeners picked as no in this year poll is state of mind everything when listening when i m in a great mood i tend to love everything ihear bad mood everything blows cups of coffee confident they can take man anxiety from here doing his part this guy made a list of his top ten albums for have you voted for your favorite albums yet our listener poll is open now i did too until i thought about it more in the context of the songs can someone please me make an animated gif of the brutal hilarious frowny face armistice made infina noticebeat out bowie beyoncé and everyone else for our no album this year"
"4","enfp","diplomat","istj the one in the room constantly accomplishing things enfp the one connecting amp making sure everyone happy w what being accomplished no resolutions only celebrations this year learning to celebrate amp embrace the space my life fills crazy messy or wonderful it all me enfpresolutions yearly illusions that a new year will change our ability to plan execute amp succeed let alone remember what we resolved to do to absorb the energy of all those i know and love is completely and utterly exhausting my idea of cleaning is more of a gathering amp dumping of piles from many rooms into designated hidden areas i often fill others lives with positive affirmations while trying to quiet the internal chatter in my head of negative insecurities i ll politely smile when you show me the polished surface of your life amp soon i ll be asking about the dustiest corners of your reality enfps can t balance their checkbooks very well but they can balance the emotions of about close friends at the same time not i want people to connect with me but i also need time away love me love my space what a peaceful day it would be to blindfold myself from seeing all sides of every problem every feeling and every outcome if you re an enfp there a good chance someone has lied to you about the actual time something starts just to get you there on time it not that enfps are never running early it just that when we are we feel like we have time to do something on the way then we re late an enfp ability to sum up a situation correctly in a short amount of time is sometimes even shocking to them at work enfps can often be the go to for those seeking support amp empathy be wary of energy consumed from being an emotional dumping ground checks phone messages work related from friend saying do you have time to talk no question which one i respond to first enfps can feel overextended when their drive amp energy creates a leadership role but their preference is to be equal amp explore together enfps search for perfect gifts a gift card just seems too impersonal then we take forever deciding run out of time amp buy a gift card to reveal so much of my soul that others always see the real me my ultimate goal and my ultimate fear enfps try so hard to make the best holiday for everyone else it is our joy but should not be at the expense of our own enjoyment i can make a decision quickly if it involves various paths it easily changed amp i can go back if i don t like it enfps spend a lot of time living life and then recovering from life enfps are never just hearing the words you say we are connecting the subtleties behind the words amp searching for how you really feel journeys are much more interesting to me than conclusions laundry istj finds an unmatched sock searches for where it may be enfp adds single socks to previous pile in room finds a match enfp in public enfp alone we solve emotional crime scenes on the daily why did he make that face is she sad he seemed disappointed that moment when you say something amp no one responds so you keep explaining what you said but still there silence i hate that moment you either love us for our overly passionate empathic nature or hate us for our overly passionate empathic nature enfps are quite the perceptive personality we see through so many defense mechanisms amp passive aggressive ways that it difficult to trust amazing how a quiet morning recharges this extrovert i bounce off the energy of others so much it refreshing to be still enfps can disappear from your life when trying to juggle too many things at once we constantly shift our priorities so we ll be back soon enfps can benefit from a temporary flexible volunteer job helping others is usually the best thing for our self esteem i often give energy to something and crash with energy left things are rarely with me forever editing my wordiness of emotions when composing work emails me daily i once apologized for my messy house by blaming it on my p ness strangest looks ever an enfp can be so lost in a good conversation they will often jolt up in a panic saying wait what time is it i totally forgot to looking in the cushions of the couch for the remote you just lost and finding the cordless phone you lost months ago probs because i never make firm plans for the day my day can be quickly consumed by those who do this i wait to see how i feel about so many things before i make a decision that it overwhelms me and i basically never decide i will jump through hoops to help a friend but show me an online return policy with steps and i won t take the time to return something this was like free therapy i can tell you anything chances are if you are an enfp you ve heard this more than once i am exhausted after a social event because i m constantly assessing how things are going what i said how others are reacting etc i get irritated if i have too many things to do in a day yet i start amp not finish many projects at a time enfps don t excel at short conversations we will walk back to a conversation with one more thing i forgot to tell you over amp over again enfp in a group text friend hi friend hello friend hi me texting privately everything ok how are you really doing i have such a hard time turning people down that my no often sounds like a maybe it hard to have something you love about your personality reflected back as too sensitive or dramatic as an enfp i m so happy you like what i have to say i read negative meaning into words that are not extreme if you say fine ok or yeah i will assume something not quite right i have a silent project wave challenge going on w my neighbors it is my goal to get them to wave back don t just agree with me to agree with me i want you to passionately reflect on things i say amp challenge me to see things in a new way if we are talking with someone who has nothing in common with us enfps start to dig we will use humor or insight to find a common ground enfps do buy birthday cards we just put them aside until we can add a meaningful note then forget to send them intuitive people watching i m always finishing big projects myself because i don t want to put people out or don t plan far enough in advance to ask for help you are right when it comes to brainstorming about what could be i do that but am very bad at planning amp organizing ahead enfps are good at living in the moment we forget too much to live in the past amp we re often too unorganized to focus far into the future because we are able to read what people need enfps usually want the same in return telling people how to meet their needs feels unnatural"
"5","enfp","diplomat","actions communities can take to greatermeeting like let patiently wait for a dictator to grant us a vote like how only of voters voted trump spare me calibrate yourself to ask what the administration is trying to distract citizens amp media from when they say something inflammatory protesters doing a hell of a lot more than trump supporters to protect freedoms first amendment rights inconveniencing people is the best way to make a point i remembered that shortly after awaking this morning and then i felt like throwing up i believe you and i believe in you thank you for all that you re doing this is consistent with the narrative that bannon is bent on destroying order weaker america stronger a melancholy name too it feels like we ve stepped through the looking glass read this thread djt undermining how nonprofits address him from a legal standpoint ugh beware a false sense of victory that how the trump admin will slide other things under the radar you can call your senators right now and leave a message don t even need to talk to a human call your senators and tell them to tell them he a known white nationalist and they need to move fast i want to know what their endgame is it always seems to come down to power but this has ideological undercurrents so now what are we hoping trump gets impeached so pence can kick bannon out of the cabinet the countries in the ban aren t even the countries that pose the biggest terrorist risk still waiting for a trump supporter to denounce the for a bunch of people screaming they aren t racists they sure are quiet i didn t see punching but there were very angry and hostile passengers one man had to be held back by police thank you i m safely out of the airport and walking to the bus disruptive non violent protests work people hate being inconvenienced it getting aggressive i was w a peaceful group on the south wing we re dispersing so we re not caught up in th protest south gate protesters blocking elevator that an intentional block they re looking for all exits so travelers can t exit before detainees i wouldn t be able to sleep tonight if i didn t show up when i could protesters yes i ll be your proxy i haven t seen any aggression from the police including teargas protest say it loud say it clear refugees are welcome here chant at passenger exit not till they leave has a min wait for security as only one gate is open others blocked by protesters seems that way lots of blocks lots of areas closed alternate routes to walk protest bannon is the most dangerous cabinet member don t take your eyes off of him once upon a time i almost majored in polisci time for a refresher the sleep of reason brings forth monsters i think we ll learn to pace ourselves we have no other choice right i have subscribed to theandbecause of you the same for many of my friends very very unsettling i was looking forward to just one day this weekend where i could take a break from politics ha i guess resisting is a full time job wow amazing how kids pick up on this stuff scary sad but in these instances hopeful and uplifting please donate whatever you can right now to the i just became a monthly sustaining donor privilege at work"
"6","enfp","diplomat","barf the only things i want to accomplish tonite are to wash dishes and shower before bed one of those things will likely not happen oh sweet mother of all that is good and holy totally gotcha covered my pal spotted this sign in evanston pick one or more than one up at amp support magic and candy for the ears are they protecting or enforcing isstill playing turned me onto i am forever indebted to spinning records is a coping mechanism that works for me you re welcome to join me on the radio starting w well here something i wish i could un see name the time and place bring a notebook swoon is myof the day there is no limit to the number of people you can block on right thank you fever dreams are the weirdest dreams a walk down hallucination memory lane just finished listening to your episode with great stuff let get the band back together miss you too darling so things are getting pretty serious then can t wait to spin killerandtunes on the radio tonight final day for affordable care act open enrollment is next tuesday january in the midst of tweets that spark fury drops a tweet that sparks joy free shake shack burgers live yes please free admission tofor the rest of the month the fuck with this guy use your block feature liberally freaked out the cleaning crew with the ramones blitzkrieg bop and i d do it again damn amp i give you power year old knows how to get shit done sounds like you re covered then like gee scoobs out fucking standing yes i hate surprises you didn t ruin west wing btw you inspired me want to start writing speeches so now i write speeches and do the radio thing yes i mean maybe err probably ummm perhaps lt assumes fetal position gt somebody really doesn t like carrots nirvana is up there too yup bruce eats whatever bruce wants whatever bruce eats is grateful to have been eaten by bruce dig this i make it a habit not to disagree withwhen he right safe travels you leave an incredible mark on chicago radio you re a broadcaster broadcaster i stared at a bag of kale to show it who boss then i ate the kale so we know how that went absolutely not offensive phrases like hit the gym and kale smoothie you re onto something you re a pretty alright fella tips of the hat from chicago use tweetdeck to filter tweets with unsavory words phrases and color spectrum references from your feed right here for ya i m more of a throw money at the problem kind of guy but suggest zzzzzzzing right here for ya nailed it two killer tunes you re not making my job easy yeah i m gonna spin sometonite any suggestions looking forward to newin feb amp more lend a hand on th record died today he was here a vid from when he was burning up the stage w played been smiling ever since you gotta hear this one song it ll change your life i swear lt collapses in sugar coma gt too late"
"7","enfp","diplomat","photographer omar reda documents the beauty of tribal women in ethiopia a sneak peek into the body shop new green beauty lab with copper foil and paint american sculptor anna coleman saved scores of world war i vets from a faceless future the new grand musée du parfum in paris is heaven for your nose know your lemons posters illustrate different signs of breast cancer photos of the discovery of the tutankhamun tomb even cooler with color vampires for beauty this startup will replace your blood with teenage bloodvia insurance invented for house fires rare events not health care mgmt for long lived humans maybe time to create something better will be watching cate blanchett as different characters in art movie manifestovia plus they re at the top of their hs class but not now hard to adjust to not being the smartest in the room see cate blanchett as different characters in the manifesto movie trailer how to look great without makeup according to a celebrity makeup artist you can now get a free photography diploma from harvard look of the day dazzling images of glowing flowers photographed with ultraviolet induced visible fluorescence for dessert how about some unicorn macarons the kids have rediscovered neck taping do you need a phd to be pretty how d they do special effects in silent films hyperrealistic oil paintings of vivid chrome masks by kip omolade curator picks and pans for this beauty gadget looks like it from the future but does it work inside new york new luxurycenter the fairy tale and fandom behind storybook cosmetics viral success light jewelry a futuristic and interactive jewel directly projected on your neck a look at st vincent guitar line with room for breasts do beauty gadgets have to be terrible this makeup artist went to work for a tech startup and here what happened meet manny gutierrez the first man to star in a maybelline campaign here how to live in a bubble the right way book review erotic capital privilege precludes feminism apparently also being called out for delaying childbirth after marriage ffs laer cut nori for perfectly artistic sushi mothmeister unsettling remote portraits of the grotesque why we still need john berger ways of seeing negative space makeup is the futuristic beauty trend that about to take overvia how to recycle makeup virginia woolf shopping tips surprising beauty benefits of having an orgasm modern women thoroughly committed to vintage fashion faces thérèse le prat dressing the women in blue it is now legal for your california beauty salon to give you wine or beer while you get your hair done fda limits lead in lipstick and other cosmetics to ppm yum foodie concocts coconut milk bowls that are vibrant works of edible art summer sunscreens all natural or high performance these african inspired and dark skin friendly shadow palettes are taking over instagram beautiful people hedy lamarr doable new year resolutions to boost your career is photoshop an enemy of feminism book review toss the gloss book review the makeup wakeup the top beauty questions you amp everyone you know googled this year national geographic unveils its most beautiful travel photos of it kindof black mirrorish but yeah i wondered why too thanks makeovers in the movies vertigo you know you want to look at christmas beards the original rainbow color correcting powders are getting a major upgrade years later floating gym in paris designed to be powered by human workout energy nice send off year old christopher walken in clown makeup will make you hate clowns a little less or will it jane forth one of new york most notable renaissance women easy ways to donate your unused beauty products this season book review the power of glamour new cosmetic pigments blue tarantula inspires nanostructure color production the timeless beauty of vintage aerolux light bulbs containing floral filaments buddhist novices transform into princes in initiation ceremony what your makeup look says about your personality according to scientists equine collagen treatment makes the leap from medical to cosmetic use love your homemade quilt thank capitalism by"
"8","enfp","diplomat","spicer rants that trump is frustrated hearing no no no from press and that why he a lying ass ie typical date rapist stuff bill better get hillary to the safehouse stat just in case if a sea of scrubbed mormons in plaid were my epitome of american arts i d slice that budget too worst house of cards season finale ever calling out for courageous empathy byfollowing meryl streep laments for same may this guiding principle somehow save us i know you ve seen moonlight yes if not see it see it sigh still thinking about how meryl psyched us out with her notes and glasses and then brilliantly built a cleansing fire just clock full of hollywood humiliation moments is a rough rap never forget my hope at key time meryl damon evan rachel winona amp octavia will do the movements and hillary will be inaugurated it not as fun to identify the illuminati controlled cloned and or reptilian celebs in the new trump order cool tuxes tho this is our wwe life donald and arnold pretending to tussle while trying to boost ratings for their show sad so much depends upon the electoral college let hope they don t act like white chickens this is no time to hawaii and chill man this exchange is making me like twitter again very fair it seems to me he didn t drop a mic he threw a lei in the volcano leaving us to burn baby burn hope ticket us punched out damn obama a day web security action plan for artists and activists under siege by gotv yeah you know me i just want to bobbitt do you have a training idea will be in orlando amp the call for speakers is open until the undecided townspeople look very scared and not unlike the wide eyed townspeople in any other horror film tl dr trump is going to sexually assault isis in the locker room after getting through hurricane matthew aftermath i m like other florida voters give us policy not sidetracking shenanigans thank you all people and pets good waiting to learn more about the area xo i didn t choose the salt life the salt life chose me in line at publix buying cookies batteries water and wine hillary doesn t need good luck she got the debates locked she going to mop the floor with his hair transparent nails the anger love survival grief helix like no other show amazing just when i m unbelievably delighted in the tv times we live in they make us listen to larry david grease live is another award john travolta doesn t understand why he didn t win suck it jimmy fallon lol still worried about the kids from stranger things riding around in that illuminati dimension when the sandwiches are gone the apology to marcia clark by sarah poulsen as proxy for the media and all of us is pretty radical bingewatching this season ofand hell yes i want to continue watching fallon debacle reminded me of trump minion hair still the best i m a big fan of those chris kraus faxes though big fan rip loving the amazon i love dick pilot no faxes but instead we get bacon marfa a bonus queer meta obsession so net gain so far yelling way to stick the landing at all in my path today sandwich maker contact lens store helper you are all medalists the trump rally baby was clearly from the future and trying to warn us good effort trump rally baby we re on it wearing a lovely white shirt in honor of my foremothers and figured out suffragettes probably didn t eat many fudgsicles stranger things and the rage loneliness and upside down horror of child sexual abuse she doesn t want this hoopla she just wants the fucking job just wants to get to work trump is the opposite little men oh trump we all know what a little man you are i love her i love her i love her while talking to us hillary brain has also written policies scripted appointments and crushed two levels of candy year by year door by door she is going to eviscerate the donald in the debates that epic really against horseshit of all kinds is fundamentally why that hillary president obama double hug is a spell against the homegrown demagogue evil cloak yourself in it as needed that will come bill clinton is loving bloomberg shots fired at trump laughing his ass off i want to watch a bill cam unparalleled connection w our deepest need for dignity and our persistent optimism amp strength best fucking biden ever i ve been made strong at the broken places i will love joe biden ever and ever breaking the glass like a boss this may be the first rom com filibuster night of firsts bill as smitten beta male and cute dad flipping the script is fun bill will evolve the role of first spouse there will be storytime and good deeds it will be fabulous damn lost that bet thought bill walk on music would be pour some sugar on me no just felt very king to me i love it all"
"9","enfp","diplomat","ha same i love it so much i actually need to see it again lol hah really interesting i love that movie lol hahahaaaa maybe cool people are supposed to carry them around and we didn t get the memo but dove got it lolllllll yes we know what up hahah asking the real questions hola grazie for the follow america land of the what is going on ha that awesome the reeeeeeeal question is why did you have lollipops on you in the first place cali style is wondercreditastic i ve laughed so many times days hey hey hey lookin spiffy sir i m currently binging and am on episode three cheers for progress better late than never right i m a fan that been seriously slackin this is the first time i m seeing the cali season hola hola guess what i m watching days days probably not helping it by being on my phone at this moment now i must go to bed and escape from all sources of light this headache well migraine is light sensitive too fun i still finished placing new pictures into the after effects file for my video are in woo this headache i have is blindingly and atrociously relentless and i keep having to close my left eye because of the pain but days fantastimazing work all of you probably one of my best snaps ever tbh wow too bad i can t grammar i currently have pictures for my video lol i m currently have pictures for my video i almost have enough to be done ha do it please guys whip up a reunionnnnnn on a brighter note days to screen everything coming in and fully control what being said or not said to the outside world hmm not even going to lie seems very dictatorship like this is crazy censorship to the highest degree i don t even see how that legal so this recent sickness i ve acquired is way worse at night i don t know anything about that life i have heard good things about luke cage thank you i need a new series to check out on any recommendations days feeling a whole lot better today i miss you too m dear aww thank you so much i can feel your ghost hug ghost hugging you back in a noncontagious way at least i haveto keep me company being sick ɔıdǝ ıɟoɹdʍǝu oɥʇ ǝɹǝɥ ıʇs noʎ ǝɹɐ ʎɥʍ hey headache that i ve had all day can you leave please thanks dude days ʍǝu ƃuıɥʇǝɯos op oʇ ʍoɥ pǝuɹɐǝ i so i m only two episodes in andis gettin serious some creepy stuff is goin down yo finally started watching guilty if i was in the airport with you i d help you release your lines fam i gotchu also we re in the single digits now days dangggggg for real ohmygoodness i finished a series ofevents tonight everyone that a part of it is fantastic ahh the melancholy you re so welcome that what i m wondering"
"10","enfp","diplomat","happening anytime now president rodrigo duterte one on one with abs cbn news lynda jumilla ah iba pa id nila nun di pa laminated wahahaha feeling old yet haha yung pinanganak nung highschool ako e college na ngayon haha anong sy feeling nostalgic upcat results reportedly out already nothing on the upcat site yet though congrats sa mga bagong iskolar ng bayan look no number coding on these dates walang kupas si sarah g i am a proud best christmas party performance ever haha hi sir also here at ogp summit have a few questions pls follow back so i can dm rise of populist leaders challenging efforts for open data government time editor nancy gibbs explains how donald j trump was chosen as person of the year canadian prime minister justin trudeau urges more government transparency at the awesome speech estonia president kersti kaljulaid explains the power of digital in open data government earlier in a video message outgoing us pres obama said he is looking forward to being a citizen pushing for open government various world leaders present at now roundtable discussion by leaders of estonia honduras etc french president hollande welcomes delegates of open government partnership summit in paris france ph officials spotted at the open government partnership summit sen grace poe budget sec ben diokno and comms sec martin andanar salle pleyel expected at the open government partnership summit is french president françois hollande plenary in a while huhuhu k pop group ne officially disbands peso nears key p level as dollar soars abs cbn news peso opens on year low volunteers are giving food to cops deployed at the people power monument rally cops barricade people power monument no program but people are still shouting anti marcos chants chant here earlier at people power monument rally tuition ni zandro pera ng bayan botox ni imee pera ng bayan aries atienza accountant is giving away biscuits at the people power monument while protesting marcos burial batas militar now showing on anc watch it again and again duterte aware of marcos burial sched officials give conflicting answers after marcos burial students civic groups in metro wide protests here lies evil protesters mark heroes cemetery ang pag asa ng bayan blitzkrieg marcos burial shows mark of a thief surprise burial highlights marcos defiance of law rights lawyer sorry just saw this now duterte snubs kris with duterte interview leni jokes there are vps who can t be removed by sc complete standstill baclaran area ano meron sir duterte congratulates donald trump canada immigration website appears to crash as trump lead grows leni after duterte tease tasteless remarks have no place in society look hillary tweets thank you for everything kakakaba duterte won t change mind about marcos burial at libingan monitor us elections on you got that right remember the thank the depression is real it not something to be talked about lightly time to strengthen mental health in ph while in china duterte announces separation from us china lifts travel warning on ph after duterte meets xi bato sad angry over violent dispersal at us embassy must know how destructive is storm signal number abs cbn news watch police car runs over protesters after us embassy scuffle naia ranked th worst airport in asia travel site look lady enforcers tapped to help solve metro manila traffic thanks"
