"","mbtiVector","analystVector","wordVector"
"1","entj","analyst","anyone else sick of politics yes ma am i m surprised you could hear that in your old age truthfully shhhh no problem you will go far young one heck yeah looks like nfs are the dominant force on twitter you got this when someone tells me what to do good perhaps that where the phrase didn t give the time of day came from secret they should put obama on coins so that when anyone pays for something the worker can say here your change is it bad that i want a cape just so i can swoosh it dramatically whenever i turn around i have been found because we have a lot to be paranoid about when all you want to do is buy suits but you also have to do stupid stuff like pay for gas and food mbti sites entjs are actually softies on the inside me furiously pets kitten while being careful not to hurt it no we re not i see it more as a psa than anything else i figure that getting this info out there is worth it truth entertainment mostly entj to isfj i try not to judge but i do infj listening you try pro tip whenever you learn something new nod your head and say ah that explains a lot then refuse to expound on what you said one good rule of thumb is that if an opinion is popular it is unlikely to be accurate i m not angry i just smile very selectively denver or seattle guys we get it it you made it through good job now back to work you miserable underlings hugs there is only so much social interaction anyone can take even an extrovert like me before it time for solitude and quiet the ultimate question was there entjs are efficient and really hate interrup sees dog eye twitches brb something came up i m a fan so seconds agreed and i ll trade you my cat for your dogs true i really need puppies puppies ah i thought the xp was an emoji haha which rpg maker dogs same entj sees someone better than them at something heavy breathing quickly writes contract entj will you work for me pretty please wisdom from the fridge not anymore that would only really be if she were someone who threatened me or my family so an enemy well i wouldn t treat a male or female enemy any differently in general so leaving them in the rain is fair game what depends on the girl tbh we manually curl every lash it takes forever why friendzone when you can antagonize buying gifts you know they will enjoy is one of the most satisfying things ever only when people ask me what my policy is on cloning fi is the worst objectively let me put it this way if i make time for you you re important to me period yes absolutely only around the holidays when i say i m all for global domination i actually mean i want literal globes dominating the face of the planet me before my te says no d awwww we love you too infps authority and commands aren t so bad when i can ignore the authority and make my own commands perhaps the most infp thing i ve read in my life food for thought i m an entj slytherin she an entp hufflepuff is this meant to be good mark your territory somehow probably more like certainly what type do you think aristotle was my guess is some kind of rational now i m angry because i want some great love to dogs must i i like to call this the enfp button entp i make myself at home wherever i am it a problem entj nah subjugating the peasants wherever you are is fine"
"2","entj","analyst","today you are the strongest you ve ever been and the weakest you ll ever be right i guess it depends on how young you are how many entjs have read the laws of power welcome brother self reflection you need to watch it tony stark is the epitome of with a dash of enter my mind xntx brains haha it actually a shot ofin iron man but i do see the resemblance tony stark gt agent smith words of a fellow personality i am an entj look inside my brain steve jobs legend harvey specter awesome rest in peace to steve jobs fellowand father of who left this world years ago today after reading the entire steve jobs biography by we are sure that steve was an we high today youra little more there is an i in team no thanks state of mind likwise mouse shout out to my ntj family haha thx for the insight brother makes sense most say it sor sometimes indeed it is so you re like a boss well as spoken like a true i haven t i ll have to check it out meta cognition put simply as thinking about thinking to keeping thinking on track sounds like anthing entjs the intuitive mind is a sacred gift and the rational mind is a faithful servant did they do what entjs have a unique generative property of being able to make better those around them you re twitter bio is an inspiration to entjs everywhere i m sure many more entjs have a sort of god complex haha i couldn t have said it better myself thank you for following haha to all my entjs out here sounds like something an entj would do"
"3","entj","analyst","did i mention that the view was majestic i wonder why did it took me this long to do this when i look at this thing most likely i wasn t trying to find out what the time is iw i know but gojek has the budget to buy high quality developers welcome to the biji family dayinta geng biji reunited well that was one hell of a night on the contrary we re way better depends on how you see it from my experience in app dev cheap labor means higher cost in the end what do you do in real life again the most frequent question i want to ask to some people i see on this platform on the other hand ada yg cuma ngasih ide doang tapi ga pernah eksekusi sekalinya ada yg bikin pasti bilang tuh kan ide gue pas tahun xxxx don t forget to stop and bask in the morning sun it doesn t always have to be a race oh that fine day of cycling up north of new york haha udah liat review yang leopard ancur it was a good year in sport could ve done more but not complaining what goes up must come down there no better way to end the year than climbing to the nearest available mountain with lucky to have met these guys and formed a cycling gang this year one of my life necessity i think i look better in a cycling kit than in suit and tie year end holiday is here and we re the only ones left nevertheless manage to get a prope best looking bicycle on the island just got a daniel wel wait no iwc pilot chronograph to end the year properly gold love of my life thank you for being the most self less human being on the planet i w finally i m trying to use less plastic i m sure it just that since it home delivery and i don t need to carry the groceries i won t need the plastic bags either havingdeliver your groceries is such a blessing one thing though can we have an option to not use pl macam main russian roulette gitu tiap ngangkat telpon ya sorry guys ini aja gue takut bisa meledak kapan aja artefakt awards list they basically won an award for their work with canyon every year xd iya sih hahahaha damn tapi kan sebelah thunderbolt display i don t know what you re talking about lucky to be working with this group of people some of the best ux designers in the region this city sure have a lot of character i m pretty sure i will see you again nyc oooooooooo ftw happy to be reunited withafter a weeks stay at thanks for takin my go to playlist for some boost at work or on the trainer hiit run no i mean really wireless like through the air gitu hail truly wireless charging the website only consist of a bunch of fancy buzzwords but fail to really explain what they will make oh they re back when you want to retire but too good at what you re doing ya kalo dipake di tempat yg emang lagi winter ataubdingin ya gapapa kalo dipakenya di jakarta kan agak pinter bikin vlog dong kak why the fuck would anyone wear a winter jacket in jakarta note to self time to book another long haul flight p trump putin fpi name it nope not gonna live in a country ruled by thugs oh those wide tyres are back looking sexy thaaanks i guess this is the real reason why casey quits his daily vlogs everyone needs an exit eventually p damn son they re good mas yang controlling hue dari musik itu pake app apa ambify sedih yang inget gue cuma tata hmm don t really know where to get those i m looking for boosted board instead hahah i don t know why you changed it in the first place but thanks for reverting it back singapore duathlon nov first race with feeling great on the bike it good to be back running with my home crew join us every wednesday for some good old kilometer a few more strides to go excitement starts to kick in knowing that all of i know it won t be easy to move on from this spent almost full week in this magnificent city till we meet again it been fun new york thanks for the awesome run and the personal record won t mind rep got back from boston and spending my last day in new york strolling back at the high line home of some of the brightest mind in the world always envy those who can get in and make i am definitely going to upgrade katya to the newslx it just feels more re got a chance to ride thebike yesterday to upstate new york this year thebik i know i m going to miss this when i got home strolled a bit up north to visit columbia university lovely campus and very easy to reac empire state peeking out in the background i wonder who works there and last friday i manage to get a free ticket to but since it free friday the pl"
"4","entj","analyst","bbm housemates were salty there was no cheering and necessary clapping they were too realtake notes this so wrong everyone must have dignity smh yall need to quit doing things just for the look it lies let ask zode that her sis gifty reminds me of talia from stargame wow i hate piercings but i think i like her i m sure her p is pierced too piercings efe her tits are out there hey bruuhhh who the hell is the bitch that cheering for bisola shut up hoh challenge can we have nominations please uriel looks scary today the makeup is gone interesting yes this trainer is really sweating hey iyandlala kwi compact you also watch bigbrother i can t wait for tomorrow morning when the makeup is gone we ll see tinyiko on every ad break nigerian adverts i hope i don t get into any ships this year i know lol the truth though strange names i like cocoice too bruh mara she flat lol i thought i was over bigbrother i ll soon be hooked again zambian thing what did i do tony i miss ik mxm you re still a racist yassssss yemi is half zambian and i love her aww shame their stage nyana coco something chick sort of forced me to watch you skipped your age th may y all mean looks like the nigg on your avi needs arvs more than i do take your dawg to spca i hide a lot of things on whatsapp yho ahh so mean even if you watch on tv still you won t win the league nor the cup relax hate being sick but i have tonsils it bae birthday tomorrow kanti uqala nini ulockdown ey just leave me alone open dm for sec it can you just let me breathe happy new year ma am call her she never on whatsapp lol tell cway to teach you it must let me prosper zode you re a nigerian that click is hard for some sans so chill i can t pronounce the xhosa click bathong your panty says p i n k but your pussy says t i n k bae when you almost crash his car the first time you drive it congratulations to my little cousin may god play a role in all wow i thank i actually wanted to say thank god i had a nightmare why am i not surprised so gemini major contributed in the making of mayo google it what does that mean ndiyabulela i can tu siyabulela no one i helped myself who helped you there zode come on i m trying i ve never seen you typing isixhosa i m just becoming sad again that what you said teacher na dat small tin dey make you vex dey transforms the verb it preceeds to it infinitive ing form i sleep so early these days chaai i just dey become sad again abi how my pidgin entering the tl and the first thing i see is nando former tanzanian big bother contestant nando khan battles drug addiction rubbing salt in my wounds i see god is watching you yo it cool ohh askies neh beautiful happy new year not interested they annoy me you ain t the st one lmfao knew you were lowkey interested yeah yall set them or what askies mxm sorry ka that auto dm askies you ll meet her soon ok famo this one needs to be away from the tl mxm he not nando and he too young he used to be my crush too i wonder what made him do drugs again i was talking about this nando not you his name is nando i thought ya sub ng him what happened to our nando"
"5","entj","analyst","they let us in wow trump has even loston this one it not for me or you to decide this evidence it is for a swedish court he should be afforded due process he avoiding it of course i don t accept it it an absolute nonsense to suggest that he is he a fugitive from justice no he didn t at least not the level required why doesn t he just fly to sweden and co operate with the process don t accept that he is suspect in a crime it only fair to his alleged victims that cooperate with the investigation i don t accept that he has not even been charged with a crime can t stand petitions but i can t stand donald trump even more sign it here too heading to new york i m almost certain they will let me in but i feel desperately sad for the victims of trump racism who won t be it double speak worthy of trump himself both of them are arseholes confinement is a lie he a fugitive liar the most profound thing you have ever said and i agree lol disgusting i am so sorry xx thanks for the rt ed don t suppose you fancy being a guest on mypodcast do you would love to have you on totally agree with you sir still doesn t make it right poof x i kinda have a point though yes indeed we killed him by exploiting him for sport hey david fancy coming onpodcast sometime soon i am in manhattan every other week these days horse racing should be banned animals are not there to be used for our entertainment they are not commodities th makes me so mad when i hear that xx i love how middle class this whole conversation is i applaud that so sorry for your loss careful now you will get into trouble with tweets like this"
"6","entj","analyst","anti trump protests taking over the street near capitol hill in washington former top kasich aide gt president trump to cbn i would say that the office is so powerful that you need god even more trump i think brexit is going to be a wonderful thing for your country you are going to have the people that you want in your country trump at press conference as far as again putin and russia i don t say good bad or indifferent i don t know the gentleman trump on mattis refusing to torture i don t necessarily agree but i would tell you he will override because i m giving him that power trump if we could have a great relationship with russia and with china and with all countries i m all for that trump on russia relations as far as the sanctions very early to be talking about that trump says he had a very good call with peña nieto this morning president trump says secretary mattis will override him on using torture and waterboarding i am going to rely on him darn really had a chance for a homerun but i blew it sorry it like the slomo version lol should i repost or a m trump tweets on canceling mexico meeting a m peña nieto cancels meeting the peso this morn no alden i did not sign the letter president trump says onhe will start construction on the border wall as soon as we can as soon as we can physically do it trump tellsonthat taxpayers will be reimbursed at a later date for the mexican border wall on the way to work radio host in middle of political debate on trump says let talk about this keyline pipe thing let be clear trump has alleged millions of actual illegal votes being cast and counted not irregularities on voter registration lists percent of trump supporters said they think voter fraud happens very or somewhat often in an abc post poll in late october author of study spicer cited totoday did the non citizen vote lead to trump popular vote loss no our data doesn t support that dartmouth study the voter fraud concerns fomented and espoused by the trump campaign are not grounded trump lawyers in michigan recount case all available evidence suggests that the general election was not tainted by fraud or mistake national secretaries of state statement we are not aware of any evidence that supports the voter fraud claims made by president trump spicer says trump got the most gop electoral votes since reagan that wrong george h w bush got electoral votes in spicer cites a pew study statistic on voter fraud in briefing it was in it wasn t pew its author said trump is wrong spicer toon millions committing voter fraud the president does believe that based on studies and information he has price on stock trading the reality is that everything that i did was ethical and above board and transparent wow thanks update now i m trying to go to sleep and i feel like i m getting seasick i bought it at cvs guys so i thought i was buying a normal iphone charger but this one lights up when it charges and i m so excited just got off the phone with alan who helped me with a flight voucher code not working and he was awesome just fyi follow the thread ben good question i asked one expect today who just said they would traditionally focus on governing and rnc dnc would raise one of my favorite parts of the day is when you guys go and favorite all my tweets it been hours and i still have thatanimatronic pizza song from snl stuck in my head not snarky he literally wouldn t be able to sell his merchandise at least via a campaign store without filing what he did the reason trump filing matters when your donors give small dollars and don t max out an extra two years can mean a lot more money and just for comparison obama didn t file his re election paperwork until april and george w bush didn t file it until may but for the fec a form what trump submitted is what makes you a candidate so it official trump is now a candidate for potus trump wrote in a note to federal election officials this does not constitute a formal announcement of my candidacy for the election in other news trump filed technical paperwork with the fec for a bid means he can start raising money and keep selling hats hmmmm okay i ll check again when i m back at my laptop thanks beth the google doc i saw was created at pm nah dnc statement calls tillerson next top us diplomat vladimir putin best american friend and kremlin could not have asked for better full disclosure it also my alma mater prominent family there i studied political science in the devos communications center alumni from betsy devos alma materare circulating a letter opposing her nomination up to names so far in just hours new lands one on one interview withairing this wednesday at p m on spicer counted million cnn livestreams but that the total number of livestream starts cnn says it was million during speech spicer says it unquestionable that trump speech was the most watched inaugural spicer to i think sometimes we can disagree with the facts our intention is never to lie to you and the real cheese people apparently the first press briefing trump in the oval office says new lawsuit alleging emoluments clause violation is totally without merit rubio i will support mr tillerson nomination in committee and in the full senate monday hitting me like lawsuit those business interests are creating countless conflicts of interest as well as unprecedented influence by foreign governments lawsuit filed by citizens for responsibility and ethics in washington in the southern district of new york eisen painter tribe listed federal lawsuit filed saying trump is violating emoluments clause says trump facing countless conflicts of interest getting into work today like alternative moon you mean haha sorry we can t all be alternative law prodigies i already have an alternative law degree soooo president trump we re going to do some great things over the next eight years eight years omg this kellyanne conway sketch on snl right now any conversation about how the media combats trump falsehoods must also address how to deal with americans lack of trust in us to do so"
"7","entj","analyst","trump should have never been given access to imovie never i m all kinds of wet but i made it need to goto the gym but it peeing it down and i don t want to leave the house help me i m angry that this oaf has been given a microphone to spread hate and injustice i wouldn t even trust him with a karaoke machine officially just cried for the first time in a public place thank you one of the most beautifully heartbreaking movies ever yeah i ll come and pick you up thank you means a lot likewise looking forward to being back in la in a few days followed by meetings in san francisco and then talking at thein new york drove miles to see my mum for a few hours and hadn t even realised how far it was i usually get the train i am strongly against the discrimination of anybody regardless of basis is horrific extremist and illogical it easy to hate those who are different from you but to love selflessly that takes intelligence and emotional depth the perpetuation of hate has long term and grave consequences for some of the most oppressed within society any world leader who defies popular opinion facts and reason is not a leader it makes them a dictator the world is at war it a battle between good and bad the good use words and reason the bad use fear and weapons terrorism has no religion do you think the world would be a happier place without the media lmfao current mood and the award for the most iconic photo of goes to great to see you last night x nobody should have the authorisation to unleash nuclear attacks on anybody it shouldn t even be a thing build bridges not walls tonight i ll be at talking about social media and why i think it is generally good for human interaction looking forward to being back in the usa next week some exciting meetings and stoked to be speaking at un event in ny so excited about this like a glove lovely to see you x oh bubba new tuxedo fitting what so good about them thank you for everything that you do xx hi did you recently change the recipe for oats whey flapjack pinch me am i dreaming i m honoured to share with you a piece i wrote for theabout cyberbullying and the impact onhuman rights you should have thought about that before turning down multiple date offers last night was amazing so grateful to have such amazing friends xx it probably because i literally use deliveroo most days yeah i already have it i can t remember what life was like before such an amazing night with my favourites yup omfg i m screaming best snapchat filter ever this the world just changed and we re about to be faced with some difficult challenges but we will unite amp stand together as one if this is all a big joke now would be the time to own up the crown is so good can anyone recommend a good netflix series to watch thank you for all of the lovely birthday wishes i had a lovely day excited for my cocktail party on saturday thank you society flowers are for girls me hi when are you planning on fixing the horrendous step login system texts take up to an hour to be sent amp then expired thank you so glad i get to spend the day with you all thank you handsome"
"8","entj","analyst","benoît hamon wins the socialist nomination for the election in april the main candidates to become president of t in which case the humble pot noodle awaits or microwave stuff it isn t all bad new oven then y or maybe you can t cook a bad workman blames his tools so thankful to the lady on the bus in lewisham i left my iphone on the seat and she got off at the next stop and ran up to give it to me on today let us remember the horrific acts against the innocents for their beliefs and remember pastor togreat journos presenters give them a follow i am pleased to welcome my friend as a national emergency services memorialtrustee great guy one hour til former president of mexico i ve who fundraising foron donate now elysium such a great film certainly makes you wonder what earth will be like in years robots completely overtake most human jobs officer shot during drive by in belfast wishing quick recovery thoughts w stay safe fortunately not life threatening good luck honoured to receive letter from sir bernard hogan howe thanking me for my energy and leadership on not just about me team work whether we re black brown or white we all bleed the same red blood of patriots actions louder than words now let see we re are so immensely lucky to have the nhs it not perfect but it sure is a hell of a lot better than the us st on this day in the scottish parliament ratifies the act of union by votes to paving the way for the c ok thanks have resent via your website best tom let make nato great again here hoping the people of ni force their representatives to look to the future afternoon did you receive the email letter re best tom to excellent speech right now byfollowing potus awarding vp the presidential medal of freedom gt guv is prob best placed than i in terms of knowledge on this day in sir anthony eden today formally resigned as prime minister hm the queen has appointed harold could make things interesting evening could you possibly follow back so i can dm you please thanks support a national emergency services memorial in the uk and check out our website it a load of smite see what i did there heartfelt condolences to inspector estall family colleagues and friends a sad loss former president of mexico why in this day and age do people have to fight for the right to end their lives if they re in such pain etc we wo to the uk national emergency services memorial we will launch soon check out our supporters gt fantastic actor very nice train service from your staff on the mcr to ldn yeah watched it like days ago in the loop is also on prime now video happy new year feels like i ve not tweeted since last year wishing my followers a wonderfully happy and prosperous congratulations to all who are recognised in the ny honours but especially the hard working dedicated volunteers across our great country wishing hm a speedy recovery after everything that happened in the queen passing would be a devastating thanks guv congratulations to mrs bucket sorry bouquet aka patricia routledge on her damehood well deserved to some excellent peopleandhave a great in i am looking forward to returning to the beautiful island that is malta great people great culture you should visit sometime and to you mr ambassador great to see you oh gosh strikes again on the third day running carrie fisher and richard adams have both died no more please liz and caroline the curse of i love the royle family"
"9","entj","analyst","thanks for matching and here sin avideo leading the protest if you re in nyc join the crowd at jfk followand my friendof on the scene at jfk to protest detention of refugees monthly need themore than ever new nickname weird al yankovich real talk glad you re following doing some of the most legit immigration advocacy work you should connect lots of thoughts and learnings here would love to compare notes at some point if you re not single letter username you re doing something wrong and or the d if only this worked hahaha oh god thanks alexis great overview to the harvard tech and entrepreneurship scene by name a time and a place and i m there just watched the cheddar segment so good thanks yeah i ve been meaning to do another round of additions have you read any you d recommend yeah it just one of those english classics you need to re read every few years to really appreciate haha thanks man happy new year here to a great thanks lots of alums on the list in good company thanks phoebe thanks steve aaaaaand coffee soon thanks for sharing thanks for sharing thanks blake really appreciate it thanks bud thanks man happy new year need to catch up soon sure i d be happy to intro you two as one should thanks tanay here to more great collabs ahead we need to do pizza atsoon it a bit worrying that i can actually hear him say that my modeling career is finally taking off honored to be named tounder come join us build the most compelling fintech products out there thanks bud stretch goal every thursday with just imagine being half as legendary as joe and jill biden how is this not breaking the internet right now what is this beard are you not shaving until the pats lose the superbowl bug this story aboutis what being a native new yorker is all about what a great sunday read i m getting you the fondue set ugh he probably secretary of health and human services or something at this rate smh just subscribing to this thread thx looking good andimmediately come to mind tweet out any interesting learnings spottedat the already lent mine out happy to lend out other days though sketch not great for photo editing but works for adding text and cropping otherwise photoshop pixelmator still best sorry fixed"
"10","entj","analyst","pia wurtzbach just had the best one liner to steve harvey i never got to say thank you for making me the most popular miss universe miss vietnam killing the jumpsuit game props ok when is nap time back and better than ever congratulations the tournament gods are smiling down upon us this morning fifth set federer nadal is basically performance art if you weren t meant to eat an entire sleeve of thin mints in one sitting they would be packaged differently right all the feels woke up early to say serena is the that all i saw the video of akil mitchell eye popping out of its socket during a game and now i ll never be the same her celebrity crush is alex from the bachelorette he the real short one from jojo season so what a loaf i ain t come here to play school my dog loooooves those thought i had a pic but i guess i deleted it what a cutie good marketing plan for starbucks puppy pets with your morning coffee omg what kind of dog is that takes bow good thing he doesn t have a degree in economics because otherwise he might be due for a refund it clearly didn t take brb guys gotta grab my dumbrella it really stupid out there today done some freelance gigs on the side since i left sn it great supplemental income but dunno how anyone could live on it i find it quite ironic that someone who makes six figs as a shill for advertisers is lecturing about working for free but fastest way to ensure your work is undervalued in said job also devalues the going rate for everyone else in the m yeah work for free good idea i didn t expect to be able to watch rafa match this morning but then it became a five hour semifinal i m not complaining my dog trying and failing to catch a tennis ball in slow motion is so dramatic i consider it a public service i mean who needs human rights when you can save money on avocados is back tonight purrlens noel actually made me chuckle good work kris jenkins for cc they already do if you shop at men wearhouse venus serena amp potentially federer nadal in thefinals love living in the mid nobody spoil the election for me chris fowler chrissy evert might be one of my favorite broadcast teams so much knowledge for viewers to soak up i m not a huge fan of that one tbh the big papi turbotax commercial will never not be funny to me definitely on the flip side though it really easy to tell when someone has no clue how to run social media accounts like donald trump for example i can understand that it not easy to manage and curate accounts but it leaving money on the table if your company restaurant doesn t have active social media accounts what are you doing social is a free direct line to consumers deviled eggs are nasty egg salad though knew you would that why i did watch this bad lip reading video of the inauguration because why not thinking of you thank you for sharing what was no doubt a tough story i thought guys only liked bacon flowers i know i have a lot of male followers so if your girl is into flowers and you want some brownie points definitely check out not an ad but if you re looking to buy flowers for valentine day check out free overnight shipping amp their stuff is lovely i do but i definitely want a fedal final be still my kind of a weird cta campaign who takes a selfie with a ketchup bottle heard great things about manchester i absolutely loved hidden figures and i m usually asleep mins into movies have you seen hidden figures yet haha shoot i forgot you worked there or i d have dm d you thanks sois out here making up words i believe you re looking for congratulating putting out an apb for the bracket leaker from last year wow she is one tough cookie for real either way it failed at both i like pickles more than i like nick tbh michael jordan took naps nick made people wear ugly wedding dresses took a girl on a date that made her puke and then made girls literally shovel no thanks except be exciting if your name is ben higgins i have a really hard time believing that nick has ever fed a cow before this show i m not talking about the state as a whole i m talking about the little town they went to he not even good at faking the setup either but this isn t milwaukee it some small town i can t pronounce i don t drink beer so that does nothing for me haha"
