"","mbtiVector","analystVector","wordVector"
"1","entp","analyst","oh my goodness truly i almost consider it a romance language those who can do it impress me immensely i have no math ability whatsoever algebra is a foreign language to me in what way i have bursts of not giving a fuck in which i must quickly take action or i will lose motivation to speak my mind in the timespan following could he be borderline is that common i can t tell he doesn t seem to be uncomfortable but he seems to think critically much less than other intps i ve met trying to press my ixtp to figure out if he an intuitive or not a lot of substance with no personal understanding don t see it as fake i see it as an action based on empathy with no knowledge of what underneath that action how so i have no weaknesses except for myself when i start caring about something what are good ways to tell the difference between an istp and an intp i have masks but my masks aren t hiding some true core self what imean is if you take all of my masks away i m not sure what left very true i was speaking about the way some fe individuals handle the dynamic of romantic relationships very much so for t versus f especially high fi it always the choice between being well liked and speaking all i want in life is to analyze myself from every angle and overthink everything going on around me i m already in love be my best friend constantly have to hold my tongue to prevent informing people of unpleasant truths i know they don t care about and don t want to know that so interesting maybe some people are just borderline he strikes me as an istj but i ve been known to be wrong he spontaneous under stress and can do critical thinking a bit better i don t know what to make of it i go through a series of emotional phases when deeply liking someone that begins with obsession and then dips into disgust for no reason i would say most definitely lot of maturity you are completely right about that one i liked it it will be quite the feat today project is to try to teach and engage an istj in a philosophical conversation concerning nietzsche and jung i definitely do too i am and i ve heard quite a lot of people say that it necessary in a relationship trying to explain to an istj how you live your entire life in your own head is an interesting task indeed that where i keep all of my thoughts as well but will anyone ever truly understand how much goes on in the mind of a ne dom i have never actually encountered one i love it intjs are truly my bread and butter exactly my favorite never it always a pain however when people think you re actually dumb i don t see it as manipulating i see it as how can i make this person feel loved this is fantastic exact same that actually seemed plausible considering that supposedly a large majority are secure mine seems fairly accurate to me what is your mbti type and what is your attachment style can t do it i like to think of us as loving chameleons we change for who we care about that who we are"
"2","entp","analyst","it hard being good at reading people bc they slack in communication amp expect you to pick up on every subtle cue sometimes evidence precedes understanding and sometimes understanding precedes evidence learn the rules like a pro so you can break them like an artist p p both but different this is my experience right now those little knit picky preferences are a waste of time to me literally the worst working environment for an entp is being surrounded by si te dom superiors i find a strange joy in being the underdog you re on so weird how life works this i love the way the skin gives way such an amazing form of art yes it got such a weird biological aspect to it it so complex and deep i love it dali is amazing love butterfly ship the shins tame impala fleetwood mac alina baraz billie holiday random sound effects from the internet why thank you jen if you ever have something you d like to poll the mbti community about i m always down to hear them swear to god don t fight an we will snap unleash our pent up emotions all over you amp be extremely creative with how it done so unique love this concept thanks for sharing with me spongebob is my always and forever yes so much to take in so many details to absorb good point and great choice yes i love this you might also like this artist it similar to your avi she rocks my boat ahh so visually complicated and fun to analyze this is awesome thanks hey share a favorite piece of art i m interested to see if we have similar taste here something i like but don t over analyze them remember to shift focus knowing you a fellow entp you can handle anything just take the time to listen to the gears in the back of your head make sure you look where you leap my dear strong wild curious enough to confront amp entertain any situation or possibility just remember to take a moment to absorb it xoxo your words mean a lot hi everyone i haven t been tweeting but that just bc i ve been in a major loop we all have strange families i m just glad you re back in my life grandmama who are you my grandma i can quit when i want to sometimes i feel like my body and my mind are two separate entities entp prizes itself on being independent so i could imagine that sinking into their emotional expression so i feel like if an entp felt emotionally pressured rejected that could incite a well i don t need you anyway reaction interesting question maybe entp would be secure or anxious avoidant like me it hard to open up emotionally for us this is interesting i know a few infp who are fearful avoidant as well not only will i tell you how it is but i ll do it in the fewest most exact punches possible throws rice at both your faces cries loudly congratulations the most obnoxious thing you can do to anis copy them their ideas their style their brand get outta here oh no nothing personal about flirty entp is so flirty but esfp knows how to play with any fe heart and as an entp i see us as nerds who could care less about being cool but secretly love being cool lol lol i envision esfp as that dazzling flirt who entrances with expressions of how lovely reality can be swoons into oblivion never to be seen in this dimension again too much extraverted stimulation can push entp out of using their naturally inclined ti for a v wild time think of it as a loop that se can feed that fe which feeds that ne and can often set things off balance because it places fe next to se two extraverted functions can be next to each other but it not always healthy no babe more questions i love it always stay tuned i ll find you something good ah but it is in your stack all functions are since its opposite to our dom ne it easy to be entranced thank god it tertiary though because dom aux fe would be exhausting for moi bahahaha true but they love it cause it all about them same i m a w so i get lost in pretty butterfly macros and swing sets entp has an inclination to overdo se oh gross all this fi dripping all over the place i also love this thread with you two thanks for all the great thought pieces entp can rely on se as an escape from their mind refreshing but can spiral us into avoiding responsibilities lol it just takes practice i actually have a tied se si which is a little dangerous id say that a ti si duo we all like things for different reasons si would be great for using what ti deduces i feel that it like ooh a new way of thinking that grows old lol them be fightin words esfp prepare yeself mate good q si is nicknamed memory so repetitive tasks reproduced without change think computer programs are usually si long live fe just enough it an excellent tool and i think one of entps secret weapons er skills i ve just noticed the grumpy faces when i springboard off thoughts and get credit thatthough"
"3","entp","analyst","trump week one mins ht campaign grows on social media race education amp the th us congress will seek to cancel summer family break to the usa in the morning if our friends aren t welcome we don t want to go cc critical thinking amp education don t ignore the background children of men photographs of hm queen greeting donald trump will haunt thefor decades imo the revolution curated reads amp short films back issues amp signup kids aren t data teaching by numbers why excellent education doesn t scale taser teachers milgram experiment on obedience to authority ht noam chomsky discussing technology learning amp society mins how did we get here four horsemen full documentary from chlorinated chicken british consumers could be exposed to american farming practices banned by the eu help children become the critical newspaper readers of tomorrow and hopefully beyond to engaged and critical citi this classroom experiment proved how easy it was for americans to become nazis meet the youngsters helping solve japan caregiving crisis children of men may amp trump a fine romance until it cracks london boroughs fear bigger classes and fewer teachers at schools uk sunday paper covers show their bias on made in china how to make america robots great again st century challenges preparing our children for today amp tomorrow trump immigration ban is illegal we the people for god sake man grow a pair now is the time for a strong amp united europe fool britannia theresa may made to look naive at best by trump immigration ban tina really online response todetention director job description if intended as pr it terminally bad not sure how you would read it like that because there was a link to the advert which you d read but enough eh anyway it been interesting to share views enjoy your evening i think a lot of people have taken it like that chris amp you thought it was fine but also it not your advert it not your advert so i m curious why you would take the trouble to defend it so why would you mention counselling in advert for a detention director then given you re fine with wording and don t you understand how repulsive the wording is should you ever want to run an advert for such a post that undermines would be counsellors you should know that it takes min of yrs postgrad training amp clinical hrs to become apsych yes you are likewise well i m curious about why you think that wording is ok did it take a long time for you to train as a teacher good to know chris amp where do you practice year of the cock apparently this one lasts at least years subject to impeachment professionals it doesn t mention professional in fact the opposite what would you reword so you would be happy running an advert like that for your practice i didn t think you were but wanted to be clear where i stood on the matter i ve never suggested anything but however the means of distributing subject knowledge is what interests me amp desilo ing subjects did you read the advert how would you have illustrated vindictive did you read the advert chris undermining counsellors during acrisis is unwise imo if so then in poor taste given a child amp adolescentcrisis complete tosh it certainly reads like a parody but perhapsor thecould confirm either way discipline as a fetish it not about exposure it about child protection at what point do we say enough school detention director brent no intervention in sovereign states we ll just sell them the weapons theresa may signs m fighter jet deal plausible reality pr there been a coup hidden in plain sight he believes in the presidency as a business model to be the worlds first trillionaire but may equally become collateral damage mr trump is merely the pantomime villain on the geopolitical stage of a reality tv show called america i think what most surprising is that some people think all these ideas are coming from mr trump head rather than the puppeteers has anyone told mr trump that islam isn t a country noam chomsky on technology learning amp society"
"4","entp","analyst","worth noting as the debate goes on trump is largely accurate when he says potus has right to ban any class of p sorry no idea how to contact him good luck no sir us citizen born and have lived most of my life around washington dc grandparents came here from ireland mystery death of ex kgb chief linked to mi spy dossier on donald trump this is comforting mikhail gorbachev the world is preparing for war right i can see that risky and there will definitely be years long time before that shakes out but good point do you want to be an eagle or a shitbird source of foul smell located on a coworkers desk i think it is rotting and fermenting the media here is the opposition party trump strategist steve bannon says media should keep its mouth shut wouldn t that tax and therefore the wall be paid by us consumers in the form of higher prices for imported goods dope pics cruising van nuys boulevard in ok this is ridiculous please read trump voter fraud example a troubled tale with bernhard langer beltway gridlock literal not metaphorical the view from on high i m in if we can wear the cool ranger hats trump aides leak embarrassing story about how he can t handle embarrassment fave thing of the day the shhhhh sign at the chinese embassy party china ambassador to the us tells me china is ready to play a bigger role on world stage as the u and u k pull badass badlands nat park defies ban tweets fact white house comment line shut down tells callers to use non existent facebook messenger account instead trump repeats lie about popular vote in meeting with lawmakers lawmakers say it was a friendly reception schumer says meatballs were served trump schumer joust over cabinet another lie from the u president it pains me to write that check out the terrific work by cnn sand crew along the us mexico border great stuff chinese internet users concerned about crack down on vpns hey we would def go to this national press club statement on potus and spicer comments towards journalists this is not a tweet more than a year after my children father died we re still in transition someone who finally understands us craziness atbefore our gig tonight oh good dickwads at thegig come heckle them with us i think so but come anyway hey y all l grab a quick disco nap then head on down toforfirst show so nowlied about metro ridership for crying out loud ridiculously"
"5","entp","analyst","empty"
"6","entp","analyst","also i m a total sceptic when it comes to falling in love i lean on the rational side pushiness is obvious but i m fine with pain i think entps are the most optimistic after all i thinkhave a problem w not taking things so seriously and then it hits them from time to time like when they spend too much money telling yourself to grow up already year after year i am glad i m making a little difference in someone life i know i m doing a bad thing and i should feel sorry and i say i m sorry but i m really not tertiary fe is so confusing i overwhelm people with the way i communicate so chaotically but i also get bored when people are too slow to process things i can t go three days straight doing same things over and over again i will at least change my rute from home to college campus is our best cousin they give sense to our ne i think i m a queen of logic but once i fall for someone i m this gooey puddle of fe my personally isn t socially acceptable no i m just really private and like to share some things with only the closest people yes that what i wrote in the tweet me you re unbelievably open and honest with people yet they still know nothing about you do you guys think so intensely about something that you just have to get out of the chair and get back because what the fuck people have that bitch i got this look i m being genius again and there no one in the room outer space and butts of course can someone explain me the phenomenon of se users and their fascination with space mostly st types nfs and nts could ve actually lied back than said everyafter realizing their words have consequences things get out of control because i can t keep my mouth shut i went to the library at my faculty to study got out after minutes it was creepy i loooove your twitter name when i get inspired about something i can t stop talking about it then i get ashamed from being such an attention whore wow good for you i m more into tife combination in people no it way easier to control yourself when you talk to a wall it feels like i function better in chaotic environments background noise helps me focus how do youfeel about it i have to study but i really wanna go outside or talk to someone or talk to a wall i can t stand quiet focus for too long such wisdom oh i like those chocolate voices i want to collect knives haven t tried but it cool wait let me google it some people won t get you and some people will you just continue to be you yes it true you just have to find the right people d depends on how you release them haha i didn t expect this kind of reaction thank you d he he he he infjs are magical and the best conversationalists i ve met so far extreme quirky maybe even scary eccentric why do i always have my eyes on intps infjs estps and entjs people like being average settling for being comfortable instead of admirable when a relationship starts to unfold the way i predicted it just not worth it i m starting to like people that are a bit too edgy for me cause everyone else is just predictable thank you еџеллент call me when you develop your fe dickhead where did you find this i m isn t that scary i have to grow up and that scares me i came up with a perfect business idea under the shower then i remembered i had to study for an exam and cry it usually doesn t talk back i just need a good idea to be happy again falling asleep with the glasses on again sitting in front of the computer without my glasses on where did i put my glasses such is life oh and awesome thing to read on reddit do you feel restless in relationships the things that have remained constants in my life are the things that have continued to offer new possibilities couldn t agree more"
"7","entp","analyst","i hope there is something you can do we are all behind you and rooting for you to all my muslim friends and neighbors i am so sorry i will stand by you i ve never been more ashamed to be an american morning views from shanghai chilling in pudong expat village before my flight back to t happy new year not gonna post a recap or anything bc was the absolute worst yea demogorgon territory so honored to be a part ofand beautiful ceremony an incredibl thank you so much toandfor having us be a part of your special nig tears wow this fucking sucks i m legitimately terrified and ashamed i would like to change my ks pledge from the early bird solo complete to the early bird cruiser kit is this possible lolol hallo you guys suck your mobile app doesn t work your website doesn t work i can t even check into my flight and select a seat antelope canyon bubblegum cooties my name is kevin lien and i am an instagram husband still thinking about this brunch one of the best meals i had in seattle scallops and polenta haha that some dad shit you are now ready lt have no idea who ure talking about or what the context is but fuck them foreal if they re not lifting u up u deserve better democrats vs republicans aside fuck trump for saying he smart for his tax evasion good god man you re running for president asshole summer nights in i ll never forget the most difficult weeks of my life i ve never felt closer to my fami these last few months have been super hectic but i m always feeling blessed when i get to my fav bns ever thank you so so much to these for taking us in feeding us the most amazing food showin this week i lost the strongest man i ve ever known my father it been devastating and total shot in the dark but are you guys hiring these last few weeks have been tough on us we want so much to grow more in our individual these last few weeks have been tough on us we want so much to grow more in our individual happy carne asana fries from califas tacos at smorgasburg la my heart is heavy for amp all the victims in the i ve never been less proud to be an american date night w at the hollywood bowl w harry potter ft the la philharmonic i just checked in at quarters korean bbq onand earned the barfly badge cypress cove at point lobos views from big sur from birthday dinner foie gras with raspberry compote pistachio and squid our view from dinner last week late post but i really wanted to surprise and spoil haven t had internet in the past hour i ve dm d my info had an amazing weekend away with the gf and still can t get over all the natural wonders w views from gc one of the most beautiful things i ve ever seen lower antelope canyon in az views from the gc seven magic mountains by ugo rondinone so afraid of heights but i do it for the baecay pic haven t posted ain a minute bc bae is wc everydae bought her a new helmet for our saturday morning hike wif ma boiz i can t believe how much we ve been through and experienced together in this short amount biscuits n gravy here we go th in line at the brea store one of the yummiest takes on bone marrow i ve had biscuits amp marrow with sweet maple b new fave brunch spot this is gnocchi mac amp cheese rip phife grtgz frm hgwrtz i can t hold it in anymore fuck donald trump i m not proud to be associated with anyone who supports him what a piece of shit shramp and grats my ridiculously adorable girlfriend surprised me by decorating her apartment and showering it was an honor to be a part of such a moving project thanks for reaching out paul funnest day evar late xmas gifts for bae spent the last weeks making her an electric longboard with cust aye these new tunes are fire vibing tf out to chances right now been on hold for minutes trying to cancel an order you think you guys could help me via dm quicker all time favorite ramen of all time ever in the entire world i ve ever had foreal all time omg those hover board things are so cool said no one ever holy shit sarah koenig wtf you crazy af nailed it taro ice cream burrito with shaved peanuts yasss obligatory river rowin in kyoto"
"8","entp","analyst","this is the first year that i didn t make it to good well yeah do we have to do taxes this year if thedoesn t pay taxes remember when the internet ridiculed westboro baptist church for its hate mongering seems like a million lifetimes ago dmmit mark i m giggling in an elevator like an idiot i do want to buy a kart lol another solar system imaged bynasa that too i bet this happens a lot up there literally all the things going on in my life one of the coolest parts about being married is joint decision making that second opinion can be infinitely helpful in crucial times are you saying i should give up moving to lynnwood for fashion go on during the sandwich renaissance of the th century once upon a time i sold out for panera will def mention this tomorrow during my show lt you yah it comes out this morning soon d and we both know there are no billionaires at kisw i m talking about the swamp full of billionaires what drain the swamp improvement omg i can t played this i it first overly complex iteration and miss it terribly when you start chanting usa usa and the space helmet kid is running incredible you all rule wait what oh my obvs gonna add this to tomorrow d it the most fun i ve had at a seattle sports event lol dude it already increased in value by i want to believe you i m a big dumb animal nora you re the best why aren t the replies and mentions from muted accounts i m following not showing up anymore is it a bug i still blame you the president ruined my social media feeds almost bought a house today bc it had a sound treated studio space for recording great stat very welcomed news this may be the highest rated season of potus ever a local pirate radio station got hacked that the most pirate shit ever lol youre the best i look good fingers crossed i don t often wish death by hungry golf course alligator on people but do you do book tours i would love to have you in if you re ever in seattle you re my favorite twitter follow nachos duh nothing has made me want to do my taxes less than that commercial holy crap do you have a vegan cheese ya old softie animal gifs also good his mom did it with a scuba diver mask every single one of you that is shit talking the women marches came out of someone with a vagina guy yelling at me about trump go away there are people all over the place headed to the women march i feel so proud of seattle right now wow they didn t waste anytime making it clear that we don t all have equal rights thumbs down more like it ahhh this is great highlight reel so and i are legit friends now games are the best i am and handling the first kick it would have been a perfect time to play the imperial march"
"9","entp","analyst","discussion hallucinante sur le racisme ordinaire chez blocage de l app pendant semaines cumulées sur mois triste hi alex may i send you a private message regarding the awesome graphics you ve created on bloomberg about the mobility industry je remarque une sensibilité au design et à l expérience utilisateur bravo flashback prémonitoire du novembre hello city uber nice to meet you let me introduce you to movement a better way to understand yourself questions about self driving cars lol two factor authentication has never been so trendy mon quotidien avec netflix en k est exceptionnel fibremb hello american dream commandes amazon en mois concierge ou bal commande via la poste avis de passage j accepte ca va te plaire évolutionenmarche ratp après les caténaires et l absence d investissement les coulisses de la tarification by message from christophe you crossed views on your answers today amazon go should have been invented by current retailers between if they had invested in innovation tellement d accord glovo l effetaprès sur le web sur le mobile the amazon experience is ridiculously perfect amazon premium dash button prime what next revolution emmanuel macron nous sommes moins les victimes de nos ennemis que de notre propre inertie designing the new uber app by to do magique m devialet les pros de l auto mettent le turbo sur la gestion de flotte intelligente par d où l attente de la k et l économie de d mieux vaut prévoir maintenant et il y en a déjà plusieurs sur netflix donc bon pas de k pas de chocolat même ouverture de porte ah bah non les quoi what about paris guys et si on remplaçait l information par l analyse de l information et donc de qualité vivement les prochaines années de vie du web mobile l information ne se résume pas à reprendre tweets et communiqués l avenir de la presse est payant vérifié en fait c est une excellente nouvelle le social media commençait à pourrir sur place le journaliste aussi non carsharing to become the trend in the us"
"10","entp","analyst","this should start displaying upside down we re watching the short con w what the long con he sure is an angry little guy i just suffered the same disappointment w my sea salt caramel like lucky charms w no marshmallows i m sad now historically the best inauguration speeches have lasted several hours and were delivered while not wearing a coat i missed young pope for this shit it would make so much sense forto perform at the inauguration glad you stated it was a human gym if it just said gym i would ve assumed it was a gym for deer the remix debuted in jan if pearl harbor happened today these people would call it a hoax nas on the march madness remix i would totally watch this bonus points if rasheed wallace is his roommate i m hooked on the start finish a beautiful amp flawless project maybe yeah well comment sounds like a formula its greek to me is the title of his book where has thisbeen great job schoolingtonight i heardpulled their ads from breitbart let get them next good job destroying all these companies mary breaking is only following people now unfollowedin last days what did you shut up hitler i would not hesitate to vote for coach pop for president this is what torture feels like this is the st thing that made me smile all day please stop douglas county nebraska could be the most important place in the world you re making it worse chris ok time to take the cyanide pills good luck earth he ll blame pence and to a lesser extent tiffany dixville notch obviously rigged how about we make it a best of world series owes us why do we care if trump supporters don t accept the results of the election they re just eggs gilbert arenas snapchat stories are an adventure only place online you d see a grown man fight a rd grader and be like saw that coming feed is riveting political theatre it like watching a live stream of woodward amp bernstein invest is the kimono hue jackson is wearing available at theteam shop we really need to consider if we re ready for an obese president what will the kids think claims he lbs and he never said anything truthful so is this fucker lbs let just ignore all thestuff from trump today and focus on how fat he is hey fatty mcfatfat peter thiel definitely planning on shutting down the supreme court to get back at scalia and kennedy video of the year rnc is a total train wreck ailes out at fox asg out of charlotte it time for the gop to get a new logo how did we miss this part of the speech the speechwriter trolling game is elite let rename i the lebron james freeway back door bragging about getting the early release on the kohl got some good deals how do you explain this is the absolute worst company i ve ever dealt with horrible customer service and they stole my credit info w the kendrick reference first apple music test drive did not impress been w since day in us amp found nothing that will make me leave them yet beats may become a viable platform if apple successfully builds an ecosystem for cars but for now falls flat for the u market here we go you ve got months to make me fall in love lol i suppose i can do a couple more miles for ya great lede how could the cast of fox amp friends a reality show about several adults who can t read get any worse hottest gainer in urban airplay last week wks on charts and no itunes or spotify fetty losing lotta money we stole swag we paid the price yoyou do this to shumpert"
