"","mbtiVector","diplomatVector","wordVector"
"1","infj","diplomat","from strangers in their own land do stricter environmental regs less jobs actually no disinterest is very telling yep adventures the best gift may just be a mind at peace beautiful i m so sorry when the question isn t whether or not you ll fit in but simply in what ways you won t fit in in this particular case the struggle of trying to find like minded people in the real world so nice to see a company with a strong voice against racism if you support their message find penzeys on fb and g oh i like it so what now thank you bernie for being a light in the darkness if it made you feel something it taught you something sometimes you can tell a lot about someone by the picture they choose have you connected withon this topic i wonder"
"2","infj","diplomat","its not like they have proper living conditions threw out the muslim world for so many yes to just call in sick take a sick day off from work feb lefties leaving out critical explanations why so many muslim immigrants coming to the usa its not all about liberty freedom agreed muslim countries are encouraging making as many babies as possible its a muslim immigration invasion many atheists deists have been martyred in saudi arabia for being atheists lets do a my main reasons for banning saudi there wahhabism teachings threw outthere region treating women like second citizens the left needto increase votes on the ground but a largerpicture muslim immigration is a strategic invasion of the usa i would prefer to just ban saudi arabia but gong by the numbers of muslim immigration is it truly usa problem muslim immigration is filled with propaganda by the left nothing to do what going on as larger picture of world affairs its muslim immigration invasion due to muslim countries making to many babies not the usa problem or tellthose muslim countries stop having so many babies sounds about right from what i observed this past year lol i don t see myself returning to my old easy going ways because of last years one sided pandering beginning in march usurping laws are becoming the norm over the people and lands i fully support anot a since in saudi they murder atheists and secularists that terrorism even drug addicts are in love with certain types of drugs not much difference in addictive relationships plus iran and other muslim countries make way to many babies on purpose its a strategy soros saudi arabia muslim nations wants to destroy the usa i have but not becoming that person that is a addictive person with a little erratic behavior i don t talk about it as well when your getting high around one person and when not around that person you become low that addictive behavior with toxic i agree i don t get off on being setup around hotties more so wanting to prove a point but yes i do flirt but not as much muslim immigration into the usa is a strategic move to destroy the republic its not about freedom and liberty muslim countries that encourage making more babies so to increase muslim immigration to the west usa that why hey whatz happening duddette the best way is stop over thinking issues causes worries then causes anxieties eat chocolate and ice cream instead watch movie be strong belief in yourself and don t allow others to influence into bad addictive behaviors addictive traits can be controlled otherwise a future of addictive behavior relationships is the horizon i do understand but the fantasy or ideal change will happen most likely will not happen addictive behavior trait maybe its time to cut away addictive behaviors in you life with them its like they egg you into addictive behaviors is the escape place for escaping from being honest in the moment or escaping toward fantasy ask what type of behavior are you work toward a enlighten behavior in all relationships not addictive behavior why are so many muslim countries paying for the protests in the st place save secularism sounds good what if they even win bigger merv post apocalyptic sci fi short film france is become a islamic state usa needs to resist this since foreign states are aiding this muslim migration be a lot more indians today if there wasn t immigrants at all this nation would be empowered by pagans i wonder how will the stock markets respond to theon monday time for trump to pull out a executive order to ban all toys in the usa they ll just use food and energy gasoline electricity to keep us under control amazing how many shady people are entering the usa right at the moment of the saudi arabia putting out supportthe saudi within the usa are most likely the one funding to incite unrest and protests at thi the ten year cycle of boom to bust is a little overdue just like most of the usa bills are overdue want to send potato and sweet potato to not going to happen to many people stocks for retirement went threw the roof since trump took office money talks those numbers are false its more like we are the and the some of over will be watching the super bowl nextweekend when socializing is like a uphill battle even to just say hi i ll stop all together don t like the feeling of doing something wrong thissupports building that type of wall hottie in a lingerie nightie have a relaxing sleep no science no news no competition science majors in college no science govt gigs for the next to years plus they don t understand personal space especially around women girls i would prefer a chocolate filling with blueberry don t think there made yet not sure of a raspberry filling either i won t doubt saudi students in the usa is funding for inciting violence and protests against muslim ban wolfs in the hen house saudi arabian nationalists inside the usa funding to incite unrest and protests saudi arabai nationalists going to college inside the usa are funding and pushing thisprotests ban saudi arabia support aandwill support itthink aggressive and assertive please only burn saudi arabian flags alt right won t stop you they might even join you please only burn saudi arabian flags by burning saudi arabian flags to protest against bombing yemen i think of chocolate with cherry fillings lol"
"3","infj","diplomat","understand and embrace the infj shadow self the infj heart understand the mind unlock the heart time running out to grab your limited edition infj jedi tee the force is strong with this one grab your infj jedi tee here order now and get in time doesn t hurt to try eh some days empaths and the law of attraction"
"4","infj","diplomat","ignoring my sadness is getting harder by the minute i can t sleep i do that but i feel like i need her as well i understand her mom needs her more but i can t help but be sad her mom disapproves of her relationships because she gay her mother doesn t know me i can t do that anyone in a long distance relationship ldr what your opinion on ldr can make it work i m struggling any advice thanks i understand the situation but i m still sad i feel so distant to her what can i do in the mean time my gf is taking care of her mother after surgery we used to spend time together now i can t even hear her voice i can t shut it off i kept telling myself done is better than perfect but i know deep inside perfect is perfect next time a scary moment comes along please know that i m here you can dm me anytime thank u yes i ve realized that that why as much as it against my nature i try to reach out to other people for myself some days are just harder but i m currently better than usual how are you the insecure part of me thinks that the person loves my potential and not my current state a mess when they push i know you re still there somewhere but i m afraid i might lose you sad thing is due to the current algorithm of most social networks you might not see my tweets bec we don t interact much i d rather share my own thoughts and create more person connections with people than feed you generic infj quotes from the internet sorry i have not been posting relevant stuff i oppose the idea of just posting other people works amp thoughts usually photos w quotes we cherish the little things we have in case you haven t notice my dp is actually one of vg works got th i thought that i was fine heard this song again i feel like i m talking to myself thank you overall i m better hope you are too thank you i miraculously passed the subjects thank you hope you re doing well try to sleep na there is hope soon i will start my last semester in the university i m excited let do this happy new year everyone kinda looking for part time job in social media management marketing branding or design i need to do more me watching survivor while i battle w suicidal thoughts oh the irony i don t want to cry bec i need to study idk how i ll be able to survive this i ll get kicked out of my course if i fail subjs i think i already failed then i ll fail another later exactly even the term death is too dramatic for me i see it more as relief amp peace i will still live on just w o one part i always feel like my mortality is just part of my being that i can just give up amp still be myself i find myself stoic about my death take your time it okay but don t give up like me i don t want to disappoint people i have this pressure to be perfect so when i know i m unprepared i resort to opting out i always give up real chance i give up life moved to a new place i m hopeful this will bring new possibilities and inspiration good day hope you re okay thank you i wish more people can see that yes i don t know about your stance but i m really heart broken and mad about everything marcos is not a hero it was our president prerogative he has power over the supreme court and the senate he sadly supported by m filipinos my country just buried our late dictator who stole billions and killed and tortured thousands of filipinos in the heroes cemetery my brother topped the board exam now how do i turn this pressure to motivation because right now all i can think is people will compare i ve been trying to prevent any negativity from touching our lives especially those coming from me now tell me how can i make someone happy when i m not sure i am how can i tell her it ok when i m not it especially hard when i m not really the most positive person in the world amp i have to show her the rainbows in the sky perhaps one of the most exhausting thing i have to constantly do is cheer her up and motivate her tell her everything ok the past few months i ve been focusing on helping my girlfriend pass the bar exam now i find myself lost and tired bed all day interesting maybe you can take up something related to your desired career but different study area might have diff approach yes thank you things are already getting better hope you are doing great as well maybe consider a different program course in school i m so grateful i have fellow infjs supporting helping me i appreciate the care let me return the favor by letting me know how i can help i ve been anxious about this for weeks even months now i don t like myself right now i m actually a girl she awesome but i feel like i only bring more stress in her life recently by being like this i think these thoughts are brought on by my cowardice to face the world i just want to disappear but i don t know what to do i don t want to disappoint my groupmates my thesis adviser my gf i fail at everything i m trying mine already exploring every inch of the world i feel so guilty because my gf decided to let me sleepover tonight so she can wake me up tomorrow i don t want to wake up i m so weak i don t know how to handle the pressure anymore suicidal thoughts are harder to resist these days i feel so helpless i m so tired i m scared of doing bad in the exam for missing the deadline for something related to that and i need to start doing my thesis i m so sad my body is so fucked up i missed tuesday only class i tried staying up last t night for wed deadline for exam missed that amp only class living on my own again might not be good for me but watching my girl cry every morning because of my insomnia is worse life can be tough i feel like i m slowly slipping back into my old ways sleeping my day away to get away from thesis my classes and other responsibilities me too but this is a personal challenge i think you can join any time ya and i have to get up at am huhu thanks how to conquer my fear of starting something that been abandoned for a long time it really hard to start again it making me anxious been taking melatonin supplements not working rn tho it am don t tell me the side effects my brain will make that happen been w my gf for almost every single day for months now i won t be able to see her as often only maybe week missing her so much it am i can t do that now i might tomorrow art but haven t produced any lately i would like to say watching tv series too but i know that just escapism starting to reevaluate my life perhaps i m not as happy as i thought maybe i should seriously consider counseling again weeks ago i cried myself to sleep then got sick the next day still haven t fully recovered i m afraid i might get sick again tomorrow it a myers briggs type indicator you can google it it means introvert intuitive feeling judging try to take a test i hope so too thank you so much i actually know why i m feeling this way amp there are stressful tasks that i have to do soon maybe this is a reality slap thank you i will try to find them it been a while since i made myself aware of my emotions you re right they just piled up thank you for your help can i buy that without prescription to help everyone calm down a bit"
"5","infj","diplomat","don t ignore the signs sit with discomfort and explore the possibilities if there was ever a time to retreat it now new kent inches and still snowing new kent courthouse so when can i expect a new refrigerator newrefrigerator arrives broken shouldn t have to have repairs w days in between to get replaced shameful don t fight with egos heads are filled with hot air not enough brains to succeed in the end my most valuable possession time made it to days milestone a new season embrace this opportunity for change find your place and never let anyone move you from it heywhere can i buy the okturtlefest logo shirt from your recent contest wondering how long i can keep my emotions turned off for hours of the day remembering all the souls lost and forever impacted looking forward in order to hang on today never let anyone tell you that you have to have less passion simple longing for that space called peace machete in hand making a new pathchange hang on to your dream it will make the difficulties seem irrelevant for me to be helpful to others i must feel respected first hand slapped for getting stuff done life has surprises some take your breath away and some just take your breath the end and the beginning big day all alone love this is this moment filled with negativity and frustration really the memory you want to leave behind please don t ask me what wrong you really don t want me to extrovert these feelings you can do anything if you can override your feeling side for a little while sometimes i wish my voice wasn t attached to my feelings stress behaviors can either divide or seal your relationships there more to me than what you think transform the worry energy into a what if plan keep believing everything can change in a blink of an eyeme there a dream in all of us but so few put the actions behind it you may want to know that this phone number is using your business name to scam people called times in days free day clear mind open mind beme cooper sumter sc sumter sc sumter sc logic isn t compatible with emotions reaching for a hand turning up empty life is similar to prime time tv half hour sitcoms but hour long dramas between now and dead how do you want to live your life dr laura i d be so much happier if i could just accept that people aren t as sensitive as i am what should i do with this anger i have towards someone who wants the glory with none of the work thank you but we ve moved our money elsewhere you have sold my checking account but not my husbands guess you lost two customers trying not to regret past bad decisions especially those involving the heart thank god for friends who part the clouds so you can again see the light a door has finally been shut makes room in my heart now and now the weekend anger isn t my thing love is wouldn t mind sacrificing if i felt loved and appreciated sometimes when i want to get my point across i find that silence speaks louder than words it not that hard to love me just honor and respect my heart can t get anything checked off my to do list because i m working with a bunch of p there is always another opportunity to learn something more about yourself creativity comes when feeling a bit melancholy stick with your first instinct never let people back into your life who have never asked for forgiveness ny strip steak and scalloped potatoes tomorrow unbelievable communicate with humility just wondering why they don t have shirt sizes in medium and a half"
"6","infj","diplomat","this is me to a t i can find anything on social media if you ever need to talk or need someone to listen feel free to message me i love you all hatred should never ha it is not okay what president trump is doing with his executive orders he does not accurately represent my country should i write end of the semester project on i have more than two friends and i m not sure what to do me i made a bunch of plans on my day off and i kind of want to cancel them infp i understand the feeling i d just use the time to sleep i m so happy to be home just bought me pizza for dinner and gave me a cookie don t tell anyone but entjs do care i m really sorry about that that must have hurt i hope you find your people wherever they might be me so a couple came into work that adopted dogs cats amp horses knowing people like them exist made me happy so i wanted to share it i d like to say this impulse has passed and i m content to stay at home with tea a good book and silence me except i m female but i m looking for a fulfillment that comes no matter where i am or who i am with a reassurance that happiness is reachable because i like the affirmation that comes when i m told i did a good job i like being with people and knowing that it is a safe place i try to make myself available to other people by doing everything right and showing up when they need me and looking to help supposedly the most attractive people are happy that doesn t come naturally to me should i change who i am to be more acceptable to you i m scared of rejection when i show you what a broken and sad human being i am being happy is the hardest thing for me to achieve i m gonna have to find some cake then this is an excellent alternative hahahah that honestly sounds like the safest option rn don t tempt me ever get the impulse where you want to dance in bars with strangers get wasted and screw up every relationship in your life yeah me too for someone who prefers written communication above all else i find writing this letter to be one of the most difficult tasks literally me if i didn t have work i would have gone to the march every conversation with my infj friend me you think that way too infj yes how are we so similar ni cely predicted vampire diaries greys anatomy teen wolf random indie films etc unapologetic spam of my black and white aesthetic of movie and tv quotes i found our gif person i have news me tell me all the things sends million messages person it easier to dwell on all the people who didn t try but it better to invest in the good friendships you have now honestly find people who will put effort into the relationship and be willing to stop trying for friendships that aren t reciprocal don t trust the people who don t respond to any texts or ask how you are doing but in person act like you haven t talked in forever beware of the people who will talk to you over social media but won t acknowledge you in person they just want attention not friendship be careful of the acquaintances who unload their and their friends drama on you information about your life will be spread just as easily all of these are me is there such a thing as an accidental genius i literally just want to write short stories about reincarnation now i effing love this me moral of the story of these tweets don t give into perfectionism have friends who remind you you re better than your flaws being a perfectionist means feeling like a fake and that sense of dread as you wait for people to figure that out being a perfectionist means accepting love feels like a chore because you feel the one who loves you don t see all your flaws being a perfectionist means scoring perfectly on a test walking out of the room and feeling like it was a fluke being a perfectionist means a constant state of lowkey anxiety as you try to enjoy the moment while you know what else you could be doing being a perfectionist means trying and if you do well it isn t enough and if you mess it up you re devastated by the smallest mistake one person can make you sad for eternity it up to you to try and move on to better things they would have tried if they wanted to skip the sad song that reminds you of them take a walk instead of refreshing social media for their status update take care of yourself ever get a bad vibe after meeting someone yeah me too they ve all had wicked senses of humor held interesting conversations and i ve usually helped out when they forgot or didn t plan i ll observe and try to confirm my typing as the semester goes on if he is i have a pattern and it makes me laugh enxps are great being forgetful applies to every type but the enfp and entp i became friends with last semester acted very similarly to this guy he was five minutes late to class forgot his pencil asked for a sip of my water because he needed some to take his pills tentatively typing one of my classmates as an enfp my theory is i find an enxp every semester or they find me yep it was a bubble but a pleasant hours nevertheless i feel like a mom figure to of the people in my life esfp oh that my résumé tosses it in the trash"
"7","infj","diplomat","when you know what people are going to ask before they ask what are some of your favorite different topics to talk about mine are the night the water eyes and my infj journey of course sometimes i wonder if my love is meant to cast a wide net instead of a single line it doesn t seem designed for depth with one person the feelings of the past never fully fade anniversaries and memories are hard when things aren t what they once were thinking about what used to be and what no longer is and what can never be don t think i ve ever taken it anyone ever feel like they don t belong anywhere or with anyone when you reach out to someone to help make a huge life decision and you re painfully reminded you can t count on anyone thank you love is an action even if we don t receive it as much as we would like we need to give it all the more being mentored in one conversation and mentoring someone in another conversation that how it should be i don t know hopefully but doubtful when you embarrass yourself in front of your crush something i ve learned my feelings about people are not dependent on their feelings for me i can like someone even if they don t like me of the hardest things is seeing the potential u have w someone but life prevents u from making a connection w them amp you re left to wonder is it too much to ask someone to think of me be there for me to see me as a person we want god to provide more so that we need to rely on him less how sad is that something i said led someone else to do an act of kindness for a random stranger the change of seasons can be a powerful thing so many people are on my mind at the end of the day i wonder if any of them think of me when our voices our drowned out by the shouts of those we call friends people tend to want to talk at you more than they want to talk with you i m searching for a world that does not yet exist these are the times when you really figure out who cares no matter who or what it is it obsession or apathy there no in between maybe night becomes so lonely because the stars are so far away when we ve been strong and alone for so long that we can t remember what it like for someone to truly be there for us faint stars faint dreams past few days i ve been humbly reminded on how different i think den the majority of people the heart remembers things long forgotten by the head anyone else feel more alive when the earth awakens and hints of spring arrive in the air most encouraging conversation i ve had in a long time from bible study tonight maybe desiring to follow god is following god they always think of the haves and not those who lack my emotions are so powerful and often distort gods truth i m only one person but i can take on the emotions of everyone around me we thirst for the future and past in our minds and hearts on a brighter note church was great today almost didn t go but as soon as i got there i encounter the loving god another person i know hair got engaged happy for them but would like to be happy for me one day too you know i ve come to believe that shame is the worst of all the emotions the holidays so many emotions i have a different journal for every part of my life and still want more journals in vivid memories in the middle of the night that where i find you that where i find me my wish is that everyone could know the impact their words truly have on those who hear them both good and bad how different would we be stargazing moves me in a way that hard to describe things affect me so much the emotion reaches down to my core love this time of year but trying to find and recapture the magic that just not quite the same as when i was a kid i watched the stars from my window sill the whole world is movie but i m standing still one of those nights tomorrow is a new day and new opportunity to make a difference in the world how many chances am i going to give people stuck between forgiveness and trust so many thoughts in my head at times like these so often i wonder what wrong with me i have desires for so many things i have never known or even properly imagined i think i have more to say to people i see every day than those i haven t seen or talked to in months i have no idea where my life is going but you can be sure i ll over analyze it for days i have all these great date ideas and never get to use them pain is so very real that awful hope there were some bright spots to your day this is a good way to start monday i make decisions constantly which positively affect the people in my life and they ll never know about it because that how i am are we all trying to figure out how to live and missing out on actually living why i am always the one who models for others proper human interactions just once i would like to catch a break when will people learn the relationship has to take priority over the task rule situation i wasn t expecting that hope your day got better today i always get lonely at the end of the night i share in the happiness of others but i want my own happiness too that is how i can be both happy and sad at the same time life experiences at the same time what happens to the friendship can it be as close it has to change as the experience has changed the friends we are closest with are those who we go through life together with sharing experiences but when we are no longer going through"
"8","infj","diplomat","thank you so much i really really appreciate that i m struggling with balance time for myself feels almost nonexistent as of late constantly frazzled and overwhelmed i m lonely but i don t feel particularly like talking to anybody we were talking like we were being real but something was missing another dynamic change i suppose why do i feel like i need to apologize this is the most sad i ve been in a while it hurts do i need to take on less or utilize better coping mechanisms i can t speak my mental exhaustion is taking over me but i miss you and i care about you and i m sorry i m being terrible at showing it when i get to this point thinking about the overwhelming stress does nothing but hurt me i really think the only solution is sleep everything just hit me a longer buildup than usual all the people worries small conversations big frustrations the little things that i could let bother me fade away as i remember we love each other we care for each other we re here for each other i wish i could do more it pains me to see you suffering the way i did not so long ago i m full of questions and i know they will only fully be answered once i act but my nerves always try to find a way to get the best of me my heart has already made my decision but how can i pursue this dream if i don t know where to begin how do i overcome my inhibitions do i dare take the risk for the possibility of a reward that has never been so close i usually don t post specific personal things on here but i got into my top school and i am elated i can t express my exhaustion pretending like it ok when each time my soul crushes a little more i m so so so tired of rejection in every form when will love find me when will i stop missing what feelings are real and what just stem from my adoration of your affection towards me don t continue w the defense that neither candidate is good especially now wake up my heart hurts i m scared for what the future holds and yes i do see your mind trying to change the story to benefit you and your ego let not play games and instead lets own up to what we both did and felt hard yes worth it absolutely want to talk honestly we both equally played a part that what a relationship is or should be flattery isnt a part of this honesty is why did you act like it meant nothing to you like you didn t even play a part don t boost your ego thinking i m desperate just because i if i m having trouble placing feelings of intense frustration it time to spend some serious time alone oh how nice that feels i think the best thing to do is just sit with myself for a little bit away from it all but there is a point when it not healthy and you know it time to let go and give yourself some space here i am back to being frustrated by you then feeling guilty and then feeling unsure where to go round goes the cycle i m sorry don t say sorry so much sorry hyper focusing again i ve come to accept rationally that relationships change in ways that aren t always easy emotionally i m not sure i ve gotten there don t think for a second that i won t carry on without you as a fantasy i wouldn t want you so deeply misled i ll repeat it until it becomes true i know what i m worth certain situations other people perceptions responses i won t let these alter the love i feel for myself having an irrational expectation that the person i m talking to will say what i want to hear and help me reach a conclusion the way i need processing happens best for me when i m alone while talking can help it can also end up making me feel more frustrated because i end up realizing a lot of my frustration stems from my inability to act how i want to without feeling a sense of guilt and need to justify i think they more felt the need to conform to the social hierarchy in a group setting when youre gone i see you in every picture i hear you in every song romanticizing something that never felt quite so pure when you were here busy life i live actions become mindless and i quickly forget the importance of my mental health to remember to make time for myself inside me wants to push away the thought and continue being fine how i feel i m expected to be it can be so hard to separate from the often times it can take some deep analysis to even fully acknowledge that i m having a rough time although it may seem obvious something there no better time to start loving and embracing dwelling on the negatives is easy but ultimately very hurtful time to focus on what truly matters my brain will not stop working on a problem that doesn t need to be fixed they are probably thinking about it a lot less than you are learning it not impolite to stand up for amp assert myself in situations that make me uncomfortable big or small i can have needs too it been a long week ready to do some refueling and letting go the web of relationships we weave is so delicate transition periods never have been easy for me heavy sigh practicing the art of letting relationships play out and feeling like i don t need to be in constant control you left but this time i m not going running i ll practice my patience to see when you ll come back lately feeling in some ways like my life doesn t feel like my own feeling extremely sensitive to others needs yet so quickly disregarding my own it time i give myself a break slightly changing how you act around me when you re around different people is expected a drastic change that what hurts feeling a deep appreciation for myself and the road on which i ve traveled to arrive where i am today pain and hurt yes but pride and love i think i ll take some time to appreciate the fact that i m feeling very at peace not sure how but i m sure not questioning not everybody will love you not everybody will see your beauty that doesn t make it any less yours there always been a weird tension not sure how to label it so i won t but i d be lying if i said it didn t give me an itch once in a while smiling from the heart if you consistently find yourself pointing fingers when conflict arises don t you think it time to step back and evaluate constantly reminding myself that their problems my problems i can care and listen but there are boundaries for my emotional attachment when you are so close with someone it can be hard to lay out boundaries both for the relationship and for yourself i don t mean in terms of growing apart i mean in terms of maintaining friendships and recognizing and defining boundaries it important to feel close to people you ve formed close bonds with what i struggle with sometimes is separating myself from these people the intention often good but viewing anything straying from your definition of normality as an issue is a less than constructive attitude allow people to have situations in their lives without feeling like you need to change or resolve them there not always a problem that needs to be fixed it really turned around that i m apologizing for expressing how i feel why do i keep doing that so i can save you from the real me i asked if you needed space took me long enough to realize it me who needs it beginning to feel more like a burden rather than a person of value whether it all in my head or not is debatable discussion of feelings has been lacking and i feel guilty and bothersome continually initiating it based on responses less than perfect and stressed or upset at times i ve felt like my needs haven t been met in a way they had before an honest it was more along the lines of a connection where both people are aware of the others needs however lately when i ve felt and the most painful thing is i thought we understood each other and now i m seeing otherwise how do you deal with this pain i struggle to emote strong feelings to friends beyond a certain circle finding the limitations and frustrations this brings each day does something slightly risky worries about it for a weeks to months after i ve seen the outcome sometimes it so important to just laugh at yourself as hard as it can be we can be ridiculous amp it good to acknowledge that"
"9","infj","diplomat","touche but painting almost done bc deadlines grumbles then pouts but hw sick kayla should not tweet if you need me i ll be in my hobbit hole honestly i was reflecting about how people find comfort in perhaps the films amp shows they digest interesting concept so now that you ve seen both can you guess which one is true i like watching happy feel good movies i feel comforted when i watch them i like watching dysfunctional conflict in movies i feel comforted when i watch them ba da ba ba bah one of the many reasons if it a week then it too long lol you just made my day gorgeous spends four hours trying to find the perfect gif twitter has now become facebook i ll go get the defibrillator how what even no antivirus okay but seriously can we just take off the numlock on keyboards its purpose seemingly is to troll everyone who use the number pad strokes imaginary beard both erm isn t in n out jack in the box and such open until am explain the fact that my dad uses the saying dogs behave better then my children to joke with other adults to fit in feels pretty degrading hang on i m doing hw and let me nurture this thought before i tweet out a response selectively platonic i ll make the exception to others as replies i wanted to screen and decipher thoughts feedback is welcome do you seem to have a lot of platonic friendships relationships lt ty fever broke at least for now lovely i have a fever in addition to the sore throat now i have work tomorrow at am and i have to speak help students dad has now moved him is currently chilling on our fireplace next to the fire without moving my dad brought in a lizard from outside our house native and was like it so cold poor thing he jumped out of his hands and when you re sick again and you have so much sh t to do you just want to cry and just the bigger the group the less you ll probably get to know me ditto what a complicated world we live in pets bring so much joy into your life lt when was the last time you approached something with an objective point of view she also hates painting i mean gouache is stupid i don t blame her my asl needs work i have performance anxiety lol deaf kid is rather distant w everyone not meshing well w interpreters i stepped in to maybe become friends but we exchanged numbers nods you know me so well the gif speaks to my soul yes tysm if i didn t have like sensors around lord knows i would be so lost so thanks rt rt rt rt i need a break from myself i completely understand i m still not exactly fitting in the woman in other words being a stick with a sudden baby birthing waist means nothing in fashion d again with the nightmares refilling my humidifier every night is annoying af i think it more of an introvert thing you can try it now shoot a question and i ll get back to you momentarily speaking from personal experience i turn off my f and it looks feels like i am a t it a scary persona in toxic environments the infj fe will deteriorate while the ti will move up and substitute my dad just now noticed that the media is biased i now have a love hate relationship with emails i apologize in advance if i confuse anyone while on the phone for anything important i suck at those things also who likes phone calls completely understand the professor has a therapy like atmosphere so it helps apparently the discipline of contour lines or at least that what implied how tf am i going to draw a tree for two hours using one line"
"10","infj","diplomat","have a wonderful weekend remembering what is true and good and real things are much simpler here focusing on real life and all the good in this place it may be the same for you i m just sitting here being real yes the world is even crazier now trump thinks very highly of himself he trumps immigration policy i will not be don t let trumpyou science community rises up against alternative facts must be wonder if building the wall will become trumpfused love being here and now observing in solitude my existence i m learning to love celery and tofu and garbanzo beans the essence of detachment not from america hugs embrace your softness turn your brain inside out now see and feel your love the harshness of the peopled world has sharpened your hard edges cherished winter sleep warm bed happy life peaceful waves surrounding me enjoying the quiet morning being myself learning thanks i m not closing my account i just don t know what to do with it and don t have the time to figure it out still in the meantime we call it life in english i am living it i have met some really great people here and wish to stay connected to them thank you and very best wishes for you too all the time in my heart you too you called me dude oh and by the way donald trumps presence on twitter has ruined it for me i do check in from time to time but am inconsistent this account is dormant or the time being i m focusing on other things in my life right now thank youi hope that you have a great day remember to treat your mind as a sanctuary do not let the world fake news disturbed points of view high jack your own peace thanks will tweet sporadically is on an extended break i do miss you guys"
"11","infj","diplomat","that i can t help with i wish sometimes i was dr strange i could go into the mirror dimension plus being a sorcerer supreme with an infinity stone would be fun anything else from an infj to an intp a tweet to someone whose like a sister to me you re so nice and thank you for everything thanks i guess you re quite talented well they re really beautiful did you knit them yourself i like your scarfs they look nice is it bad to have a bias on personality types i seem to really love infjs i love intps as well some enfps as well everyone has doubts but if you have the determination to stick with something you love years won t seem so bad the struggles of people who feel lonely yet don t want to talk that much you re really pretty that why i came here you can filter that stuff out and focus on what you want to see england is nice looking haven t been but likenyoy want to go you re wise beyond words and i m so proud to know you you have a certain way to think had a good conversation with friends today and i found out i agreed with your views a lot you look beautiful don t get phone calls lookin goood boyo a few times yes sometimes it helps with quiet introspection i admire anyone who can brave a storm and still be themselves on the other side most usually lose a bit of themselves probably for the best salutations kind sir an early the beautiful sound of rain is the perfect soundtrack to fall asleep to it makes the world seem peaceful and washes away the toxins here a riddle for y all in the morning you have one friend at night under a streetlight you two friends what is it not in words in there actions yes send one of them down my way i miss having them they are really interesting i miss having anas a friend you guys are so interesting the way your brain works terrifies me but in a good way damn right puns ftw just saying don t rule out that factor even if it pacific doesn t mean it can t be atlantic it could be that you think it doesn t apply now it could apply but you ll find out at a later date good advise is hard to come by does anyone else notice the subtle trend of this generation not wanting to have kids it seems like small group but it there honestly don t do it sounds like a person who can act clingy which in return will drain you they also seem toxic you guys have wondering minds so it wouldn t surprise me it yoy guys had lots of those a lot don t mean to alarm you but maybe they are types of people who know alot about you well not exactly pairs or black jeans but yep quite accurate depends on the person some might like bing called adorable and others might not i don t like it for certain reasons just checking to see if you were okay hey hope you re feeling better if you need to talk i m here i honestly wouldn t have known if you didn t tell me that shied guy looks pretty nifty yeah that what being sick is like a video for my friendsandenjoy kerri i m sure you know the song if you ever want a good and fun chat find yourself anthey re smart cookies and i love chats with them thank you also forgot to add firstof the new year these have to be the best friends i have today thanks nice to meet you here the question would you have thoughts of deja vu or would it be as if it was the first time that the start to what will be an endless loop do you want to take that road thats life tho if you need someone to talk to good to hear good luck with your future endeavours i don t is that a hardcore henry joke i want to highlight my new friend happy new year will be praying for you have a good the my few non american friends from south africa to london to canada to europe have a good one hey congratulations any universities in mind unofficial start to my new years resolution thank you for being so kind and patient i m so lucky to have a friend likesomeone who just seems to be the sweetest person alive thank you so much you still look really nice"
