"","mbtiVector","analystVector","wordVector"
"1","intj","analyst","true yep my myspace was so fancy i basically had it looking like tumblr photo blog before tumblr existed lol i did not learn any of that kinda stuff in college came with the territory as a photographer though needed to have basic understanding i think if i didn t use myspace in i wouldn t be editing and altering css html in a txt file right now in lmfao and part of it is me discussing it reminds ppl i m human and have work and interests that aren t race facts on twitter which ppl resent this didn t happen in hs tho since my hs was super competitive and wasn t any weirdness about ppl being organized or smart or evolving etc reminds me of college when the slick out the mouth fools would get a bad grade and realize insulting my study methods i got an a tho like how you slick out the mouth when you can t even find your own links lmao like zero personal organizing and building but ok like this would be a time to admit i m better than you at all of that kinda stuff lmfao and spare me receipts and what not i notice ppl make slick ass comments sometimes when i discuss my work process i ve seen yours zero organization no processes nothing these hot takes and declarations that somehow can see white supremacy but not capitalism foh how are mass media corporations independent journalism lmfao i get that these corps wanna profit off dt being utter shit but spare me sometimes i see a story that people think is endearing and i m like what the fuck some things that warm ppl be exploitative af i prefer to get it done and finish major work then go relax and completely drop off the grid clearly lol the process for yep i hate stopping when something is incomplete and then pretending like i m relaxing while it still on my mind still working though i wanted to chill in the evening but i rather get done with some major stuff then rest a few days weary by solange in mood forever mood forever hitting that news excess point and i said i would monitor that in not trying to have my interpersonal life and health mirror lrt truly obsessed w that line because reasons i finally found a tertiary barber lol the primary and secondary are kinda far since i moved the tertiary is super skilled it just interesting watching people craft these narratives that begin on but ok lrt the now and the we are super interesting in that tweet i dunno but i was aware of white supremacy structural violence before it just looked so good like i want of indie films to look like that video lmao yes it leaves shit out i swear because i use tweetdeck frequently for my collections so i know"
"2","intj","analyst","time to sleep but let me leave you with this last thought let make sure to give it our all day in and day out i think it what you prefer to use first i doesn t mean that you only use one of them but i want to hear from you all what do you think amp and fyi being around you and in a such wonderful community makes me better person everyday aw you know we re not great at receiving compliments but thank you some much it really means a lot i ve had no doubt in my mind you ve been my friend a very good one too since the day i started this account what do you think about this graphic like it or not we re all living on the same boat aka earth if it sank we re all going to the bottom of the ocean together i won t ever try it that for sure what that depends on how sever your hunger is so glad to hear that from you since i m muslim myself week we sometimes our mind plays some tricks on us to deceive us into eating more while all week need is a glass of water do you have a feast let me add to that if your life is worth more to you than the rest around the globe you are not a human humanit what a journey that u ve been through your strength amp positivity is so inspiring to all of us i hope an guide to infographic and you ll why don t you try run or exercise for half an hour or so that always puts me in a better mood so sorry to hear hope you feel better asap happyto my chinese friends and followers this is true for me as well luck is where opportunity meets preparation seneca i can attest to that have a good night and restful weekend good people time to it the hay hope you feel better soon lies are intjs liars or honest how to tell if an intj is lying what a way to promote for an event class free of charge let not wait anymore soon do you hear that it gonna be on sunday am our time that a challenging time but will try to make it work on the bright side you re actually feeling better i was planning since last summer men played in toronto and women in montreal they ll reverse this year between soccer basketball hockey and now football tennis got lost i guess but yeah i ll definitely watch rafa vs federer planning to watch rogers cup this year from the stadium i hope to see them both live this summer i like your enthusiasm for tennis i used to follow it a lot back in the day now you re kind lighting that flair in me again may i ask what stands for in your twitter handle you re not really annerd until you have these essential books on your bookshelf by this is yourscreaming loud lol also if you needed any help please don t hesitate to ask you ll get there in no time i m sure emotions mine and others are the same to me the line between helping and interfering may at times be hard to judge true and has always been a concern of min happy friday twitter have a peaceful night everyone again guys don t let the personality stop you from finding the right person relationships are way complex you and most of us here fyi my infp coworker friend is happily married and just had a little boy i bet most of us thought that were weird till we discovered the mbti and the enneagram one i asked my infp coworker for a dating advice she told me i m the last one to ask about these things so you re right lol no i m not just saw her article and wanted to share a summary of it with my followers"
"3","intj","analyst","same i think my friends know more about my love life than i do i ve been thinking of trying the challenge too shouldn t be hard since i practically wear the same few things all the time right i m definitely going to read the book next ah i m sorry i just know for sure it on netflix in america so am i the documentary is interesting because it shows the positive impacts minimalism has on people lives yes it on netflix just finished watching a documentary called minimalism it was very eye opening i d definitely recommend it i would say i probably talk about feelings the most with myfriend she has this way of bringing it out of me that a good question i wouldn t say i ever really feel comfortable talking about feelings with any type but it sbut i m still not really in the christmas spirit i don t think this is very at least personally i like to just say what i mean without all the games i wish people understood that for me alone time is a necessity like breathing i m not just trying to be antisocial i could watch documentaries all day that would definitely make life a lot easier i actually really love the rain it peaceful are easily frustrated but rarely become truly angry oh trust me i don t those are both such good charities is a favorite of mine is anyone doing anything for loss of control stresses me out more than anything i ll be having my firstthanksgiving tomorrow should be interesting i don t want to be an adult all they do is talk about their various health problems i hate when people ask me to tell them the truth but then get mad when i do i could easily go a week without speaking to anyone and be perfectly happy i love how easily guys are offended by a woman who knows what she wants and will stop at nothing to achieve it i wish people understood that when i say i want to be alone i m not angry i just need a lot of time to myself my school literally lost our own homecoming football game so amazing don t know how i could have lived without seeing that exactly i went to hs for my freshman year and i can say i definitely didn t miss out on anything by being homeschooled neither do i people do love to give their unnecessary input though not having to deal with pointless high school crap was the best part of homeschooling tbh it not lonely it extremely peaceful okay that was super corny but i have to admit it made me laugh you should do it anyway even though you start late it good motivation to write yes us nt are quite classy exactly i m the same way i can hope wow i really wish i knew how to not be so awkward around the person i like that sounds amazing i m jealous oh i don t have a problem saying something we shouldn t have to put up with that i usually just stare straight ahead and pretend he doesn t exist me myself whenever i show the smallest bit of emotion towards someone why no i just like to be the best at what i do i don t share my weaknesses i improve them do guys really think girls like it when they catcall us from their cars newsflash we don t i relate to this so much it unbelievable okay what are the odds of bumping into the one person i m trying to avoid out of everyone on campus good luck to you too i m pretty excited about it is anyone else taking part in it my first year oh yes i do that every time drives everyone crazy exactly of course there are times when we really don t have any emotion but that not all the time i hate the stereotype thatnever have feelings sometimes we do it just hard to express them or it takes time to figure it out haha glad to be of service literally me thank you my favorite holiday of the year is here happy halloween everyone it so easy to distinguish a fakefrom a real one there are few things that i love as much as the stars and space i don t like peer reviews because i always come off as too harsh when i was just trying to help the person succeed aesthetic not being able to go to this year is actually torture i love watching horror movies that i ve already seen with someone so then i can just watch their reactions so entertaining i usually watch them on my own my isfj sister watched one with me the other day and she absolutely hated it story of my life when people tell me i have to do something the chances of me actually doing it drop down to zero someone just described as human golden retrievers and i think that the most accurate thing i ve ever heard me at any party makes friends with the dog or cat ignores the people for the first time in what feels like forever i finally have a few hours to myself the joy is real martial arts will always be my first love i don t think i could ever be with anyone who didn t understand that"
"4","intj","analyst","a suburban mom made me cry in the middle of the dinner rush so i served over half of my tables while crying pretending everything was ok on a scale of how extra is my outfit tonight my socks also don t match seeing my friend this happy has literally made me cry tears of joy first two have already sold hoping to have a shop up by tomorrow love this one my side of the bed is on the right why are they like this jungle days roommate came home amp snapped a video of the apartment being trashed but in reality there was just newspaper amp fresh paintings everywhere very thankful forand look at how fat and happy this t rex is you are the moon and the stars i ve been knitting for hours yawn just caught a squirrel eating ketchup out of a lil packet ditched the blue thank you so much i m not sure when the next paint night will be but the more the merrier listen to ftbt prod ugly god by ugly godon i m an aries and i feel this so hard i might go cry in my hallway closet for an hour or so try not to enjoy taking a poo in my toilet i dare you i need some pictures of nimby don t trust ppl who buy records but don t own a record player willing to pay someone to teach my roommates how to take out the trash my grandmother does all the time so cute who dog is this it happened in wisconsin i worked at one for a year and there was a huge issue with feathers but just one of the many reasons i ll never eat at that establishment again lies i hope you learn how to love yourself this year p a i n t i n gt e c h n i q u e very pleased with how this turned out pls the fuck are juicy fruits what are you going for don t go back to school tomorrow i got a pair of unif jeans for at urban during their christmas sales i m sorry but put your fucking phone down there are some things you need to enjoy without sharing with your k on instagram i watched a video of a yr old crying begging her mom not to record her reading a book he hates me freal freal i cried and kissedon the forehead twice tonight burns ear while curling hair watching star trek and drinking a beer lmao her hand would be burnt so badly running around the restaurant like i had in sales the other day and i wanted to blow my brains out you re dee reynolds a cop ran a red light and almost hit me i hate the lock it foundation and tables to color on my mother sent me a bunch of rocks she hunted polished and cut my nine yr old sister can highlight and contour better than me bob ross could spread butter on a piece of toast and it would be a masterpiece i m naming this piece bob ross ugly stepchild your hair i ve been on hold for minutes pls push me off a cliff eeep my first time working on canvas with oil paint just has to dry so i can add the finishing touches i ll who is responsible for putting a container store next to a blicks middle aged white women flooding the parking lot killed my creative flow"
"5","intj","analyst","i wonder how long it will be before the us department of education is forced to delete this tweet such an impressive move byto inviteto therodeo congrats to both i feel the love my brother meet a doctor office that feels like an apple store that learns so it gets better with more data what exactly do you look cool wearing this is fine happy new year to all including to my many enemies and those who have fought me and lost so badly they just don t know what to do love hire her best description of chanukah for kids i ve heard imagine you only had battery on your iphone and it lasted for eight days looks awesome but the football does look kind of deflated that feeling when i realize i spent more time thinking ofholiday lyrics than trump spent thinking about escalating nuclear race great job closing out theholiday video this year thanks tofor her amazing job producing this year sholiday video it here the holiday video wishing you all a happy and healthy new year yep just add tussin yale study people are more likely to solve math problems incorrectly when it conflicts with their political beliefs bloomberg says us startups are piling on debt i agree debt is the new robitussin we always have room for acameo our choreographer is ready for him someone sent me a gallons of soft soap and didn t include a card should i assume i smell who do i send a thank you note to i can t wait until the holiday video launches next week it will be unpresidented soon me too have some patience your new twitter bio should just say celebrity investor we ownbut haven t used it seriously your new newsletter is named pro rata now i can t search my mail for term sheet or pro rata nice to meet you in the room where it happens in philly pr i remember when you set up the beta unit in thephilly offices read more findings from our state of startups survey of founders from venture backed companies here once again is the most admired leader in tech with of the vote more votes than bezos zucker founders believe that bitcoin and bots are overhyped while agtech and life science technologies are underhyped hiring the right people and customer acquisition top the list of founder concerns competition and work life b founders predict tech will reflect the diversity of the u in over of founders believe parity is mo of founders say their boards are all male and the later stage a company is the less likely it is to be di of surveyed men believe lack of gender diversity in tech is a pipeline problem more women say it an uncon of founders say that investors will hold the upper hand in the coming years when it comes to negotiating de who do founders want to get acquired by the winner is alphabet which tops a list of companies n in just founders expected the ipo market to improve this year the ipo window has opened that number founders are optimists of leaders are certain they ll build a billion dollar company yet also did a despite the fact that the majority of founders say we re in a bubble of founders believe it is a good time last year said we were in a bubble while this year the majority still say yes it closer to a coin flip we just published our second annual state of startups report here are a dozen highlights learnings excited to release second annual state of startups report cc is an amazing person and a class act and you don t want to miss his holiday video performance next month and todayshared some thoughts on the importance of managing generational change at venture firms last week we met with lp advisory board amp showed a brand new video about how specialis last month i shared some thoughts on my partner decision to step back from the nextfund a new first for frc companies acquired by the same company on same day congrats arbor amp circulate pm how to price slapping on a price just before going to market is a recipe for failure great read by never seen a line this long at my polling place ever at least people deep during the rain delay watch this impressed that you re staying up for the season finale the electoral college will now decide the world series no worries he should pull the catcher to get an extra player i had no idea that steven spielberg coached the cubs"
"6","intj","analyst","fear and lies is what separates people from another love and truth is what unites the light has come from a judge in brooklyn who granted detainees a temporary stay thanks for the clarification no yes only his her morals but then again they still would be shaped by his her environment and individual natu i think it is possible to have one over the other but i think to be a well rounded individual group you want a mi true do you have an example of why not would you say morals are fi ti person and ethics are collective te fe or do i have it wrong reply to this thread cognitive function comparison te vs ti source cognitive function comparison fe vs fi source cognitive function reminders yup he was willing to bring gotham to its knees inorder for his ni vision to come true through violence hitler i ve missed my l train stop few timesbecause i didn t want to stop the writing process and then i look up like where am i read and share if you like dear americans you have to fight for life liberty and the pursuit of happiness medium when the process completes i go back and review and spot words i never knew the meaning of or things i ve said that blow my mind it feels like i m in a trance zone state where it just flows and my mind is not thinking or in the way to interrupt when i write from inspiration words come and the direction of the writing i do not know i just listen and write until the process ceases vsdifferences will cut a bitch we don t fuck around mr entj t te ni se fi for the entj and ni te fi se for the intj intj vs entj similarities and differences this explains the nerds over atand the rest of us geeks so true intjs are touchy feelers who love and watch romantic movies lol the top favoritemovies psychology junkie the top favoritemovies psychology junkie the top favoritemovies psychology junkie intjs are extremely extroverted for depression her advice was great how to develop your functions capitalism over earth the ti fe amp fi te function pairs intp personality type overview traits and career options for intp youtube intj vs intp similarities amp differences between intps vs intjs youtube funky mbti in fiction spotting functions in kids maybe he should have thought this through before becoming a president they all look so beautiful intuitive thinking women explain what they wish the world understood about nt females thought catalog vs similarities amp differences enneagram type four w amp w insights for amp life is a composite of oneness and opposites if you re a priority you must not be an option if you re an option you re not a priority so true issues recommended read quotes are from ask an intj do you have a heart and how do we win it thought catalog love w qualities of openness honesty and safety safety both in the sense of security and in the sense of feeling free to be honest intj my definition of love involves a deep connection and a sense of unity intj i want to be able to enjoy the presence of the other person both in conversation and in silence to be able to bask in their presence intj dario nardi journey with personality typology youtube interviewing dario about whole brain patterns by type insights youtube check out this film based on a true story hacksaw ridge desmond doss infp a soldier who went to war without firing a single bullet and saved lives duri so what exactly is the design industry anyway wired how to tell if you are intj or istj celebritytypes the year people start to turn away from their gov t because its like they realize santa is not real anymore again my prediction i believe appearing to come true investors bracing for a massive stock market selloff powerful martin luther king jr letter from birmingham jail the atlantic great book for improvement of functions functions of type activities for developing the jungian functions type spotting conversational styles cognitive function theory mbti resources everything you need in one place mbti typing people how i do it lots of students that take psych courses utilize just google intro to psychology quizlet and study flashcards tests hail hydra comes from heil hitler if you didnt know conformity doesnt mean you re loved it means you re controlled cause you obey love is freedom not conditional"
"7","intj","analyst","suggests to me why we shouldn t accept medals of empire in the first place whose round table is it anyway previously sectioned john walsh bbc stories chooses homelessess than the indignity ofsupporting dwp tyranny big think on mis medicated not over medicated i ve had mine for years but getting replacement gaskets from now impossible what about spare gaskets and filters for your carmenita cup stove top coffee maker why doadvocates propagate these statements yet fail to apply them in their own environments example slaughtered pig sandwich and mustard with nigel onsaturday so eating fish is delayed cannibalism then rick according evolution saturday fish is prosperity not for the fish it ain t ken saturday it the saturday slaughterhouse again when big corporates avoid hmrc the self employed shouldn t be paying accountants to get best return is it worth working in an environment where to fit in you have to be machiavellian no of course not forced to find out contact details of chair of bot forfrom charity commission as do experience today toughie transitioning to a whollydiet might mean falling into vegetarianism occasionally amp doesn t mean failure retrofitting to ev is not impossible can form basis of new industry exactly issue needs addressing same goes forash damagesresidents working for charity retailerswas probably the worst thing i did for my mental health altruism betrayed trashed hr failure to provide whistleblower policy undermined staff as four resign damaging confidence amp sacked ex manager at courted and allowed to undermine last surviving goodbyehello hypocrisy putting bird feeders and food out in our gardens is the first step providing a clean air environment is the next uk urban wildlife so when your wife knees have no cartilage no amount of weight loss or physio reduces pain basically end of nhs talk on time for cryptocurrency in uk as banks plan to charge for atms bbc tugs on our heart strings w one minute via closing sequence then desensitises us to animal slaughter next the entire bbc agenda on eating is anti vegan when was the lastchef on filming masked vegans with the bbc can we donate from uk obviously this is us based so no nominations but hoping for knock on effect in uk can t see it when bbc highlights amp thus applauds increase in uk diesel petrol car production who would jokingly pretend to cut the beard of a frail nonanegarian a juvenile sociopath wonder if the amp driver with no licence finally gets to be the am th feb lovely principled superb for solihull hospital as part ofrecently did a great job in amu for my mother thank you to all medics doctors and nurses i love the way nhs trusts get to work with the coroner at my father inquest got to grandstand unacceptable trading high in uk based fossil fuel burning vehicles and no comment fromabout increasingpity look people we re all flawed there no utopia only best guess is trump already talking martial law in chicago days into his presidency the world is getting more bizarre by the minute interesting is it time to run for them there hills boy this is where i saw this idea firstexperiment evasive action crossing addisonrdjust as audi driver exceeding est mph project mph failure before taking statements hr dept failed to distribute any whistleblower policy documents to expendable staff the managerexecs sacked was better looked after than the whistleblowers they let rot nopolicy no advice nada as we await thepropaganda films let see a real exposé on whistleblower maltreatment corporate salaries amp real you wonder what the real head count is forin councillor conceding this but unconvincingly it won t just be staff victims of violence inmates too will have to endure physical brutality or is inmate brutality deserving let film some no paidwho feedcorporate salaries to convince middle classes drunk on virtue signalling as my own mother recent admission to hospital can testify wood burning ain t quaint justice left reboot byat exciting prospect for uk too constructively dismissing a not only affects them but has consequences for their loved yes nicely innocent for a change the clean ones are the best pardon the dirty van paradox lovely bit of artwork trident failure like the debian logo the parody being theparadox at and mind talk inappropriate and inadequ can t wait to do the parody version blah blah stamp out stigma of whistle blowing at mindwhere chances are you ll lose your job not least some of those working at your local ukwherediscrimination comes with the terr if you don t want ironic chronicissues don t work for and their retail bbc breaking news ends up in la la land"
"8","intj","analyst","you can t see the curlers i have in but the apron is working wonderfully the ceiling fan under the florescent light to create a sticky strobe is a bold design choice at this subway yes i purchased this while watching season for the first time this month i know i know this would make cutting deficit way easier national not attention this surprisingly affordable laundry folder clearly cut cost by leaving out spaces must save a fortune on typesett you can email me via sure where if only we had any historical precedent to predict this kind of thing oh you mean the actions that led to the near depression and was then blamed on dems that greed oh snap reagan or further but it not about the leaders really money and media before i assume i think nuclear devastation would probably be a class equalizer yep but i m not sure if that comes before or after the nukes i can t disagree with that and inciting fear about terrorism and declaring obama a muslim was a huge catalyst fox news and the republican party which built a platform on fear based on lies that ultimately backfired oh i forgot already those were illegal votes i believe that will be the first entry in the newspeak dictionary i ve had my issues with the electoral college before but seeing a win while losing pop vote by m is rare yeah we re fucked and i m saying that as a white male and somehow still many support him not a majority but he didn t need that to be set loose here anyway discredit jail and ultimately demolish the press remove opposition within government cast doubt on the election process every single move they ve made has been straight out of the authoritarian playbook literally step by step well the dow finished at a record high which doesn t really help the that much beyond that no whoever currently covering thetwitter account is a good sport i ve worked customer service with assholes like me i feel like finding a young person just so i can regale them with stories of rotary telephones you kids don t know how lucky i ve scraped and archived all govt climate change info still around hopefully many will republish if it removed jebus just realized i m old enough to be grateful for speakerphone while on hold lobby for a bigger budget to cut wait times to less than an hour i d vote for that though i m sure it been tried on hold with mnsure help line and for minutes i ve been listening to ads for mnsure redundancy remember the uproar among conservatives when obama used executive orders dictator they screamed clamoring to stop him of course trump would work to undermine the voting process we were clearly doing it wrong right thanks trump the miracle you could have used was not falling out of the tree in the first place saved is on hulu my youth no joke and climate change information is immediately being censored disastrous on a worldwide scale these problems are no longer solvable by the body politic opposition party is impotent chance to avert is gone dropped and broke an unopened bottle of bogle old vine zin in the kitchen saved one glass from the wreckage skål anyone who voted for him thinking this wouldn t lead to fascism is a goddam idiot not across the board or even close most of what they want addressed isn t even real to me or to the new admin i would happily do that but i find myself morally obligated to stay and fight this call it patriotism i liked this country i totally forgot about that p i m going to go ahead and refuse that alternative fact finding millions of non existent illegal voters probably takes precedence over public safety when allocating resources this is all so fucked up i imagine i ll be donning a black bandana and pondering my reflection in a molotov cocktail sooner than later even if only to point to support forums or to mention that star reviews don t solve edge case problems as well as contact valid arguments both counts subsets and sticker placement make friends and influence nerds with the lab new tee post huh fontagent pro updated itself only to tell me i can t run it on my os version anymore afk for the morning but i ll get you a license soon you can do similar to this need non mas version can cross grade if needed javascript for automation appears to be the future but the future of mac automation in general seems tenuous and the most popular ruby parser is called discount markdown on a t shirt does that mean it on sale no it for sale i want to make an i wanna be shirt for dogs exactly actually on a recurring campaign now like a real store i ll announce after i finish my new design stuck a rockrok in my aging sleepphones and now i have iphone compatible pillow friendly wireless headphones th web excursions for january post pay my rent so i can dedicate more time is the api down my spillo bookmarks aren t showing up onand my scripted api calls are timing out just princess bride with a touch of silk road agreed sorry i need a button for wicked good comeback appreciation had this brilliant idea for a t shirt but googled to make sure it was original it not still brilliant it was the first year i played cello pretty sure it was twinkle twinkle little star i remember my dislike of the bloody noses my year old brother was fond of causing ohhh i get it you re clever turns out this has been ugly for a loooong time why didn t we throw out the baby with the bathwater i m not saying i ll wear shorts i m not a silly college kid but i love jackets not required weather what d you do check twitter in safari i always stand up for the selfies icymi minor update to nvalt that should solve the unknown developer issue and finalize theupdates to avoid mitm attacks dealer choice and for the record i m imagining that card playing smirk on your face for every tweet now annual anything over seems balmy selfie"
"9","intj","analyst","new post ways we save on propane new post baskin robbins get ice cream scoops for just on january new post yogurtland buy one get one free frozen yogurt on february new post free kids workshop at home depot on february new post free printable owl valentines new post free printable ninja turtles preschool pack new post why i changed my mind about hiring a cleaning service new post menchie buy one get one free frozen yogurt on february new post brigette grocery shopping trip and weekly menu plan for new post cents of style off clearance sale new post free maternity sample box after coupon code and rebate new post natural amp organic coupons amp deals new post rare fedex coupon get off any ground shipment new post lowe build amp grow workshops no longer available new post papa murphy large family faves pizzas for just each new post kroger free friday download powerbar protein bar get a bottle ofgerm fighter and lemon essential oils for just each shipped new post macy get kitchen appliances for just after rebate new post the children place off clearance sale kids puffer coats for just shipped plus more new post free instant pot ecookbooks new post redbox free dvd rental with app download new post free blue stop max massage gel sample sam club members only new post free san francisco bay french roast coffee k cups new post get a bottle of germ fighter and lemon oils for just each shipped new post ebates get double cash back at select stores through the end of january new post ibotta save on kraft old el paso sabra plus more new post shutterfly free unlimited photo prints when you order through mobile app new post panda express free firecracker chicken amp dr pepper on january new post free lino spresso espresso sample new post free audiobook download of eat it to beat it new post free printable dr seuss preschool pack new post free printable stem challenges for grades k new post the best freebies from this past week new post walmart current deals new post my new coloring book free handlettering resources new post get of conquering your clutter eresources for just new post get polka dot infinity scarves for just each new post up to off jigsaw and wooden puzzles new post rare american girl magazine subscription for just new post get a count pack of q tips for just shipped new post macy carter baby clothing as low as new post sharpie special edition count set with bonus coloring pages for just new post walmart get a beauty box for just shipped new post which wich get off any online sandwich order new post kroger free stouffer fit kitchen meal new post free huggies little snugglers sample new post inbox dollars get paid to read emails take surveys search the web and more new post amazon the best online grocery and household deals this week new post one week aldi grocery shopping haul for a large family trim healthy mama friendly new post dollar general free milk oreo chocolate candy bar new post free seeds of change organic rice or sauce coupon new post free salonpas pain relieving patch sample new post free printable valentine day worksheets for beginning readers new post contigo autoseal stainless steel travel mugs for just new post free kohl cash with app download new post chipotle free guacamole amp chips with entree purchase new post free twinings of london tea samples new post diy valentine day slime new post toluna possible free garnier hand cream new post cents of style get two women tops for just each shipped new post free day ecourse organize your week new post home chef get six meals delivered to your home for just new post the children place kids in jackets for just in store only new post target cartwheel get off avocados new post rite aid deals for the week of january new post walgreens deals for the week of january new post cvs deals for the week of january new post free weight watchers magazine subscription new post target deals for the week of january new post possible free o keeffe lip repair lip balm new post pinchme sample tuesday get a box of free samples today at noon est new post free goodnites bedtime pants sample pack"
"10","intj","analyst","that few people have endured what jsm did on behalf of our nation and i will admire what pres elect obama said about your father when he was elected i will always admire what your father said about candidate obama and in profiles in courage honor matters more than ideology though some can disagree with your dad on political views he has always been a man of honor i ve had my disagreements buthas always been a man of honor see if you can catch the reference to my favorite afn star when the germans are more accepting of foreign cultures and religions than we are in the us but seriously russian state media tried to contactfor an interview about sec mattis creidings it here bottle rev raleigh in which russian state media turns to thefor information on sec mattis thanks bradley peniston this is exactly the sort of marine we need in the fight against daesh she knows the culture hates daesh very mot yikes i thought we were gutted just a nobel prize winner nbd everyone brings something to the table don t be dismissive of people unfortunately the military is the military and she missed out on one of those special fet teams because she wasn t an officer there are very few pashtun cultural experts in the us and even fewer physically fit enough to wear body armor and walk in the mts we need more people like him for instance would have been excellent to have in afghanistan the kicker he a muslim and he often avoids the issue of asked people asked about his halal mre it a religious thing he says he is so effective in locating terrorists and advising he gets sent to ocs from iraq he serves in baquba iraq when aqi daesh predecessor was at its height his arabic makes him invaluable father is from sierra leone and his mother is from egypt he speaks fluent arabic he enlists in the army and joins i m doing interviews and i meet this captain he from sierra leone and he immigrated to the united states grew up in the bronx story time so there i was a battalion xo and i m helping screen candidates to serve as the hhc commander in an aviation battalion friendly reminder from a general with a princeton phd in int l relations not yet sir but may do so tonight and if i remember correctly read it in he drew a hot tub on the flight deck or something i like how in your father book they ask him to draw a picture of a carrier ok point taken on that oh yeah reason i bring up algeria is because of fln tactics read more in savage war of peace okay enough talk gym time in short islamophobia will only backfire and fuel extremism daesh can point at the us and say we were right even though muslims are not monolithic they come from all over the world overreach like muslim bans or islampphobia in the us draws recruits to their cause daesh does not want muslims to assimilate in us even though in iraq and syria it mostly other muslims taking the fight to daesh in the case of al qaeda and daesh they want the us to view this as a clash of civilizations west vs islam they try to push the moderates to either side they try to provoke a reaction that causes the powerful to overreach they cause division revolutionaries hate moderates because moderates look for reasoned peaceful solutions i ve been studying insurgency for the better part of years do you know what militant groups really love let look at algeria in that not even the most awesome a oxcart ftw strategists from napoleon to mattis agree torture doesn t work via not gonna lie i totally drink lacroix to read mexico matters fromin ah the good old days when we worked alongside our mexican partners via that sounds great but we have a perfect track record of predicting future threats perfectly wrong hidden in there is talk of how the army lowered standards did not chapter enough troops etc then if you can find it the chiarelli report on army suicides circa i think i saved on google docs also a few links to read first this parts links at bottom we pick a strategy that fits the prevailing political financial landscape not the other way around we like to think we align ways and means to meet ends but in practice it the other way around just like in the late when we thought we could get away with precision weapons air power sof etc better thinking is always a good thing but you simply can t replace people that easily like now there are promotion rates in the low for ltc so basically the post officers but i think the net result of say was positive beyond that it got very dicey we still have long lead times for simple chapters multiple pt test failure takes a year to enforce began holding company commanders accountable for enforcing standards lower level commanders in theset the tone it needed to raise standards and it had x duis and no chapter paperwork was initiated so blame goes to both the army but also actually when he was usareur commander drilled down and found many soldiers who then in those chapters rose again as the army started to crack down again obesity etc chapters for height weight and pt test failure plummeted in by appx in net result was it made it much harder to separate a soldier for misconduct pt failure i have plenty of charts sitting around on my computer but basically the army issued a message in general but pt was one of them perhaps k but organization of the active force matters as well armor infantry medium bigger than the army of k smaller than the k of the war when there were problems also sounds like yoda speak object subject verb i think around k i think correctable to also prk surgery"
