"","mbtiVector","analystVector","wordVector"
"1","intp","analyst","i have to find something where it happens in real life anandin a relationship spread their rainbows even as toddlers guys help me out here what does this comic mean i don t understand this is all part of the humor too oh man don t get all serious on me now how to find mr right have you taken my test i would love for you to try it out what up scott you re probably an infp trying to fit in the world and has developed an ability to act like an intj noooo i love animals i can t even watch animals beating up themselves mmm dinner right it what i consider to be objective omg guilty as charged in all fairness i do put down and myself a whole lot my nickname for is aliens yes may feel like aliens too but they at least try to fit in haha that cute how to spot aneven as a child if a person has no hobbies can they truly love them themself if were a dinosaur reasons why anmay be hardened with a cold exterior i want this but how do i know if this is legit are you dating an nt try this pickup line an example irl of anfriend who has practiced ballet only as an adult but over a decade still feels that sh i don t even use a pillow that what i m saying i got like salt and pepper that comes in a package with a fork knife and napkin i hear what you are saying but the owner of these particular spices is an intj it necessarily is an intj it not sarcasm this is real life seriously though this is an spice rack irl don t bother me i m thinking you don t learn from your experiences you learn by reflecting on your experiences me do you believe in true love whoa wait that is a loaded question bc you are asking about truth and love hmm well i don t make my own memes so i would have to find a meme where people label their pics radiant beaming smile warm gentle smile wtf with the same person or rebuild trust with humanity when you got artistic talent and are good with animals but lack in people skills ha i thoughtwrote an article on the difficulties of being too hott that freaking hilarious and gross all at the same time i would say that boys are more mischievous this is so crazy on my site are stags and i often call sergeant slaughter little girls are sweeter than little boys oh thank god i m not a hufflepuff can you link me to the house tests i want to see what i am for the last hour i ve been watching videos on irish people perceive american food i m so fascinated the free spirit that can t ever be tamed it does add something lol does this rainy scene make you happy or sad the issues you have when all you hear is logic but lack common sense i think you need to get out more heidi do people stop you in the streets nyc is a big place so yeah i love shoes and this is the most inspiring shoe commercial of all time did he piss in his pants when he found out you are heidi from thought catalog i m actually serious do you have a blog states as in united states or like mental states or what aw this little girl seems to be a future exfp what the address ugh this is one of my biggest pet peeves as an also when someone tries to finish off your sentence b freaking hilarious look at myfriend being so excited to help out with theworking the graveyard shift thank you so much does anyone know anything about customs taxes what if import goods outside the usa using ebay how much do i pay if at all i went to a new years party yes not a new year eve party tho no cheering or anything i skipped that that came out extraordinarily harsh without an emoji it probably you being normal sigh this exploding cats game is soooo not fun my fob friends call this avocado sauce ha turns out they are half right bc it turned out to be av i m at a new years party look at the board games thebrought this is different than my nt friends well that is why i asked you what the web is for kinda like this pic bc things get caught in a spiderweb it like you are catching flies ithink we both know that it bc you think of yourself as a seductress also the short hair looks good but why the spider web i m going to take a look and see first and see how much i learn is that really a fail how bout me staying in bed from pm to am to welcome in the new year does anyone here really understand socionomics seems so complex and on top of that they type einstein as an omg love i get scared but i like them need to have this on my watch list hmm it looks like a great movie but hopefully i m not like the kids maybe i am though you like scary movies"
"2","intp","analyst","every exit is an entry somewhere else tom stoppard surviving is important thriving is elegant maya angelou there is no such thing as a minor lapse of integrity tom peters don t wait the time will never be just right napoleon hill the secret to success is doing the stuff other people won t do amp doing it for a really long time john jantsch i m so busy i don t know whether i found a rope or lost my horse mark schaefer arrogance is the camouflage of insecurity tim fargo did you make someone smile today you ve still got time melissa stewart a person who never made a mistake never tried anything new albert einstein the best is the enemy of good voltaire every exit is an entry somewhere tom stoppard may your faith be unshakeable and your will unbreakable tristan bishop i myself am made entirely of flaws stitched together with good intentions augusten burroughs happiness is a choice optimism is a choice kindness is a choice giving is a choice respect is a choice choose wisely vala afshar freedom begins with owning your flaws and disowning your fears umair hague you are not a drop in the ocean you are the entire ocean in a drop rumi don t look for it outside joy is always in you all you ve got to do is awaken to it roxana jones nodding the head does not row the boat irish proverb your worth consists in what you are and not in what you have thomas edison success isn t permanent and failure isn t fatal mike ditka the old mantra of be everywhere will quickly be replaced with be where it matters to our business mike stelzner beauty starts in your head not in your mirror joubert botha chemistry is great but eventually your relationship moves out of the laboratory tim fargo if you have the courage to begin you have the courage to succeed david viscott you don t have to learn from experience if you don t mind repeating the course tim fargo we are all born ignorant but one must work hard to remain stupid benjamin franklin it always more important to be kind than to be right rich simmonds the big question what are we going to do for humanity serving others is the essence of leading at a higher level ken blanchard i can normally tell how intelligent a man is by how stupid he thinks i am cormac mccarthy all things are difficult before they are easy thomas fuller find your spirit and no challenge will keep you from achieving your goals christopher penn educating the mind without educating the heart is no education at all aristotle your fear is dependent on you for its survival steve maraboli actions are remembered long after words are forgotten john maxwell there are no shortcuts to any place worth going beverly sills ideas are easy implementation is hard guy kawasaki our greatest glory is not in never falling but in rising every time we fall ancient proverb when you blame others you give up your power to change take responsibility for your future chris voss watch your mouth the language we use creates the reality we experience michael hyatt all that we see or seem is but a dream within a dream edgar allan poe you are the one who teaches other people how to treat you what do you teach chalene johnson nobody can go back and start a new beginning but anyone can start today and make a new ending maria robinson a wealth of information creates a poverty of attention herbert a simon if you aren t having fun creating content you re doing it wrong ann handley love doesn t make the world go round love is what makes the ride worthwhile elizabeth barrett browning after climbing a great hill one only finds that there are many more hills to climb nelson mandela live simply dream big be grateful give love laugh lots unknown your friends will believe in your potential your enemies will make you live up to it tim fargo the best way to find yourself is to lose yourself in the service of others gandhi to invent you need a good imagination and a pile of junk thomas edison focus on where you want to go not on what you fear anthony robbins an obstacle is often an unrecognized opportunity petteri tarkkonen attitudes are contagious is yours worth catching bruce van horn could not have put it better keep your goals in front of you and your fears behind you tony robbins i d rather live with a good question than a bad answer aryeh frimer did you ever stop to think and forget to start again a a milne if you re beat up don t give up rest up then get up tristan bishop analyze your mistakes you ve already paid the tuition you might as well get the lesson tim fargo it is our choices that show what we truly are far more than our abilities j k rowling raise your words not voice it is rain that grows flowers not thunder rumi practice doesn t make perfect if you re doing it wrong frank sonnenberg in the midst of change we often discover wings we never knew we had ekaterina walter damn right you too its called optimized cost its a bipolar market equiilibrium enjoy life by limiting your emotional baggage to a small carry on tim fargo don t ask god to guide your footsteps if you re not willing to move your feet unknown life is like photography you need the negatives to develop unknown is there any one so wise as to learn by the experience of others voltaire success will not lower its standard to us we must raise our standard to success john dijulius attitude is a little thing that makes a big difference winston churchill i will prepare and some day my chance will come abraham lincoln the path to wisdom is paved with humility tim fargo we d achieve more if we chased our dreams instead of our competition simon sinek it not what you look at that matters it what you see henry david thoreau if you don t start somewhere you re gonna go nowhere bob marley"
"3","intp","analyst","his protectionist trade policies are stupid his support of torture and domestic spying are terrible i voted for him to stop hillary and send a message to the establishment i don t support huge portions of his policy the world is too dark too evil with too many problems and not enough help it overwhelms the contemplative soul it just too much i guess if i can think god save us from the unthinking and incurious minds our xfxjs can think i m a nd rate heart the idea of gifts differing is an important one we each have our gifts and while we shouldn t be jerks or idiots we must be who we are a family member said that people who are empathetic and caring are better people than uncaring unemotional geniuses angers me greatly uh not the insurance companies main customer is advertisers just that it not the patient i appreciate that and i m willing to end the back and forth if you want has tons of free books is advertisers like employer based health insurance with internet content i think local weather will change the profit motive imo works as long as the right person is the customer for news stations the primary customer they are motivated by money it just the people money taken by force and appropriated by congress problems tv weather must give people something they want more than accuracy since they re most popular sorry for the next expletive language and long term it doesn t make sense for a bank to devalue their currency eventually people don t want it they are motivated by power and money the fed is controlled by banks as it is but without competition the fed may not have the same profit incentive but neither do politicians yet they are no angels among men i would trust government to make breakfast cereal or automobiles why trust them to make currency or laws i don t think this holds up if this is true in principle why not nationalize all industry why doesn t communism work general james maddog mattis comment with any other opinions few people have enough light to understand the vast darkness in their understanding so they feel omniscient there isn t much cheaper than and and they re pretty much secure and would be more so with more competition if i m fidelity i want the best most secure most widely accepted currency perhaps digital only backed by silver in the fledgling currency market today precious metals bitcoins etc we don t see widespread problems positively reputation in the market aren t cheats amp thieves avoided aren t markets not govts places of innovation the problems you list are essentially the problems the fed had now in the long run doesn t a currency issuer want a the best options there would likely be way more than three options and like search engines people would gravitate toward three best options and companies would innovate maybe they back their currency with silver gold shares of the company commodities etc there would be many options not necessarily a bank could issue paper digital currency backed by something customers trust once you become knowledgeable you have an obligation to do something dr ron paul i completely agree with you we should imo the best alternative is to just let the market work w o official i rewatched some of the gop presidential debates dr ron paul is such a hero to me his arguments are so coherent and consistent i only wish was that really me was three times as long nardi work is extraordinarily interesting it seems fitting that my boss i m a software engineer has the lotr trilogy and star wars on his desk as permanent fixtures makea some days i doubt i m autistic other days someone asks me through pm are you an aspie i d say days out of i feel aspie the blessing of being an autistic intp is my challenges and my disinterests often overlap it harder for social aspies i think chairman yellen will fight to delay an economic correction thereby making the eventual correction worse i think you re better to split up than marry someone you want to change temperament for example can t be changed some months ago i argued that based on what i knew i felt mike pence was isfj recent has typed him as such awesome well thanks for the great podcasts i ve listened to in a week i look forward to whatever is coming next gary johnson asactually makes a whole lot sense i ll have to rethink my estp typing of him interesting podcasts i just started listening i see you followfolks are you a rothbardian i think i m done for tonight but it has been fun nice to meet you then why the hoopla lol the only reason google has so much search dominance is because they are good at it what do you propose govt do about it look at the recent epipen scandal here in the usa the co pany had connections to the legislature who barred competition here alternatives i could make an alternative myself but it doesn t exist at all yahoo bing duckduckgo they each provide different users something they want most in what area do they not have competition should govt force people to use crappy search engines can t fault a good site idealistically any imaginable utopia is possible including a stateless one i m talking about what govt is in truth government creates monopolies through tax credits special loop holes and partnerships google doesn t have monopoly the way to the to is providing a product of service that people think is more valuable than their money that virtuous if that what a government did but most government functions have nothing to do with protecting true rights the state does more of that than anyone else monopolies are creations of government cronies not cooperations and in the private sector there is competition we each get to choose for ourselves with government we are compelled that how huge parts of society work now you don t think anything the government does could be done privately why as long as a man is benefitted by helping others he will continue helping them supply and demand but most people do care about others in our free will society out people donate huge amounts of resources to help others did idaho farmers get up and tend to fields because they love new yorkers their self interest feeds strangers yes and no self interest has given us so much good are politicians selfless angelic beings it is impossible to predict market innovation in sectors that are currently banned but i can theorize a specific sector how can we stop theft and extortion with a government when their lifeblood is theft and extortion this is an extremely broad question the best parts of society are already free is there some area in particular i d gladly help you with any areas of confusion or frustration question away is far far too rapid and we don t see a long slowly changing chain of creatures in the fossil record we see leaps not for me for the science rapid evolution only occurs in simple short lived creatures the explosion of new creatures we are the only truly free market school of economic thought we are mostly anarcho capitalists oh certainly i m just saying given the limited timeframe biological evolution doesn t seem plausible it is as though they were just planted there without any evolutionary history it far too rapid well the creatures that arise in the cambrian explosion would be a good example dawkins even states really i find that interesting i think you can find a lot of intellectuals in our ranks particularly the mises variety lol i think the evidence is fairly strong certainly darwinian evolution has some serious problems of late at least that not my journey for me belief in god was the answer to a single question but has implications well certainly my theological beliefs do help inform all of my other beliefs but god isn t the answer to an equation libertarianism take a little more dot connecting and tweets probably wouldn t been a good medium for those arguments fundamentally if free will is correct calvinism and determinism cannot be working toward austrian economics and well one illustration i use when arguing calvinists is if god controls everything he has forced me to say he doesn t"
"4","intp","analyst","betchya can t start by the end of the year this year i m thankful for my success rate at staying alive so far it is an ongoing journey you re right yo raise your hands if you actually practically finished something this month hey that better than nothing cool i ve only started like project ideas and abandoned in the last month brb starting more projects that i ll forget about in hours ooo interesting gonna have to do some more research on that and unsurprisingly many of you have very specific and nuanced definitions of your political alignments the super scientific results are in of votes of us align more as democrat than republican interesting push the button for the party you usually end up voting with or really i think it gets behind you it all good got it i identify as libertarian more closely than other parties but vote democrat due to party representation in our system doubtfulis perfectly aligned with either but they arethe in power curious aboutvoting habits today poll which political party are you more aligned with i know that feel anyone else it amazing how time does that do any of youfolk blog regularly if yes what the topic example of an intp hard at work tell me more that actually makes a lot of sense is a lot of books to finish though congrats lots of high pressure jobs here dang how d you like it woah did you finish any yet i bet i didn t mean you held it chaotically but that it sounds like a naturally chaotic thing to regulate that sounds chaotic awesome so the majority at said arts other in the polls for career bucket if you chose that option i m curious what your line of work is sure why not silly enough i have blogged probably books worth of content since then just not authored an actual book participating in short term writing events helps i always make the most progress when i dedicate to a sprint goal insert ninja gif i hear you i also have a book years in the works words already but can t bring myself to finish it x teaching yourself a new language is hard lulls are natural congrats on keeping it up over time i think that counts progress takes constant effort towards one goal which is something we normally lack let defystereotypes what a personal project you stuck with for years retweeting answers to support general consensus is i ll get on the phone for work but otherwise prefer texting perhaps because text is easier for articulation intps care to weigh in i for one avoid phone calls at almost all costs thanks but no thanks we sleep on the corpses of abandoned projects i think you re absolutely on target thanks for entertaining this discussion about it it been insightful that fair enough the point of this syndrome is more that you feel a fraud and your achievements don t count because they re not legit it often hard to know what our achievements mean in the end they re not always appreciated as such in their time but that doesn t mean we didn t achieve them in the first place honestly it so silly because it rational to become accustomed to new circumstances read achievements or you ve convinced yourself into believing you haven t really achieved anything what your career bucket let us know what if you re other there were only choice slots sorry discuss impostor syndrome and the intp that moment where you stop enjoying a movie because it doesn t even follow its own universe logic anat work what your latest project retweet if you just remembered a project you accidentally abandoned like years ago oh my god talk about pulling an intp the easiest way to lose some weight i could rule the world only i can t stick to one plan for more than hours oh god the ideas make it stop when an intp goes rogue on a diy project being an intp is having too many ideas to share all at once and then overwhelming your friends with all of your output we got all sorts of peeps talking about their worldview and religion on the fb page what your opinion to be an intp is to make other people tired with your constant stream of new ideas panic worry i m an intp after the knee jerk reactions are over i m good i m a web developer what are you tweet like you re an extrovert tweet i could hack but i m too busy programming according to the portrait most hackers fall into intj and intp that moment when you re like this project is way bigger than i thought fuuuuuu"
"5","intp","analyst","do you feel guilty breaking up with your ex who was not really but i broke up with her because i didn how often do you question your faith it hard to say as a skeptic i m always second gu does small talk make you feel awkward haha most of the time it kind of doesn t but when someo yeah it wasn t my brightest moment actually the answer is incomplete here i tried to change her and that wasn t cool either no as far as i know why did your last relationship end i am a christian and she wasn t i tried to change ask me something you re absolutely right but this tweet is probably just a random interaction between one intp and one istj tries to show off every single ability they have if done they feel as if they under performed probably oh see i did not know that how do people relate these pics to those captions oh no that not a problem it just that we were probably dragged there b but this is a not interested um intp the idea here is to interact oh don t mind me i ll just watch so kso what type is it i say intp but that might be because of its inability to filter most thoughts very often except the feel part stage is as far as i got option laugh out loud one would think so yeah but then i find myself watching these videos on youtube silence ftw but not just at night though am i afraid of sleep why do i avoid it like the plague do you know why no one has taken advantage of it teach me something when you ve got to handle more than one emotion at the time aw man my money was on funny thing is most people advice for others is be daring but play it safe for themselves myself included and lastly you now work at a supermarket and don t get any free days that what i can come up with rn you ve caught an infection and have to stay in bed at the hospital for two weeks or you ve already booked a flight yet the social rituals are most of the time illogical which makes dealing with social issues so frustrating looking for answers or advice might find a lame pun here instead i thought that being called cute while on this filter was rather an insult it covers most of the face therefore same here"
"6","intp","analyst","pure mathematics is in its way the poetry of logical ideas albert einstein and texting someone we are romantically interested in how true is this glad you liked it at i m the stereotypical grandma i like sitting alone on a comfy chair wearing comfy gray clothes and big glasses and baking cookies yes and when i start to welcome the possibility that someone could hear my thoughts i start to think of weird pr the male intp was infuriating lol it felt like i was dating a younger version of me i ve met two actually i became good friends with one of them i ve also met and kind of dated a male intp as well true yeah i guess i just need to remind myself that it a waste of time to compare myself to everyone else thanks for me it starts with jealousy then goes into self criticism i feel awful when i have these feelings how do you guys deal with jealousy can you make it go away it difficult to put thoughts and ideas into words so i end up shrugging confession i have the most random and unusual interests it feels like the more i know the more i realize i don t really know enough happy birthday i saw the movie months ago really me why now i think i have a crush on kylo ren i think if loving you was wrong i d rather be right i m always right ever had that feeling that you like something in theory but when it comes to the actual thing you don t i am often envious of how myfriends are naturally good at handling talking about emotions and aren t afraid of them i ve always loved the thought of not being what people expect me to be exactly omg lol well all of us do have our different interests i guess one of the things i m passionate about is memes yes i like that site bucket of water falls on head buildings fall around me gets hit by a meteor dies me oh lol i spaced out what did i miss is it just me who loves to collect memes and interesting pictures i have more than k on my phone or do other do this as well same i usually know where my things are unless somebody arranges my mess of stuff in which case idk anymore lol that makes it an even more difficult decision to make i salute you i guess we are good at taking criticism but it actually bothers us more than we let on since we lowkey want to be liked tips on being in a relationship with anpersonality type q chosen career field a i m currently studying to be an engineer hoping to also get an architecture degree after but idk yet willing to try if anyone wants to dm sounds fun i think this this is me right here me arrives min early i am a changed woman i am now very responsible and organized sec later me crap i left something important i think i m gonna faint esfj is very talkative and sensitive sometimes it overwhelming he is very sweet and always makes me feel loved entj is someone i can share my ideas to he is straightforward organized and supportive he is also a person willing to help i m an intp and my closest friends are infj entj and esfj infj is like a mother to me she is very supportive a i was thinking are esfjs really this annoying nah it probably just my sister lol hence this question came up hahahahaha quite true for uss as well hello fam question which type annoys you the most and why hello fam ask me questions here i procrastinate for the thrill of being under time pressure haha smart bossy is it just me or ares really attractive i ve felt that it feels like i have lost all reasoning which makes me mad stage because i don t know who i am anymore lol i ve only ever reached stage how about my fellows hahaha from anon tumblr when you have inferior i probably failed that physics test but idgaf because it christmas break finally glad i m not the only one then hahaha well i guess i have learned that others are easily offended and i must be sensitive to that so that counts right lol i was daydreaming in class yesterday when all of a sudden i panicked at the thought of anybody in the room being able to hear my thoughts i m not male but i m like this hmmm maybe i should get a shirt that says this lol omg i ve actually done this before to someone who asked me out haha my friends think i m funny when really i just blurted out something harsh yet completely true lol deadlines coming up and i m thinking about taking a nap again what new thanks i appreciate it that amazing maybe the best thing about being unsatisfied is it makes you want to explore more and see other options good to hear is this true for you the problem with me and essays is that i get the urge to insert my own sarcastic side comments and puns every time i make a point hahaha made me laugh then suddenly get depressed because i m not doing anything worthwhile and am just living for the weekends lol"
"7","intp","analyst","seventh draft of a sub tweet about emotional argument parading as informed debate thinking everyone feels fine until they say otherwise loooove it teenage daydreaming meets adult crush thank you thanks for the upgrade to unlimited everything and for the price reduction my heart i m amazed at how many times i can watch still alice and still love it is amazing a bit of balance loved the woman at the end you flew here you slept in a hotel thank fossil fuels for that episode brought a piece of me back to life thank you what involved in making a solar panel because solar panels aren t harmful to produce right very biased video i gotta testify wtf with late registration so in the metaphor is mary the merchant and sherlock death until you stop hating all this stop being afraid of it learn not to notice it nothing happened to me i happened yes lots of people were hacked the mother is just a skilled actor pretending to cry adapting to survive crocodile tears the father is very skilled at reframing the convo as if he believes he was justified as if he had the right to her body this is such an important episode she needs to cut them out of her life and move on alone her dad knew it was wrong whenyou drink and message everybody back please get app payment readers at your robarts library location we re hooked on zip lining scenic caves nature adventures hey i want to win a dining credit from prague czech republic explains why everyone is wearing rhcp shirts here we out here mapping the hike with coffee of course getting ready for what turned out to be an amazing dinner english bay it a bird it a plane capalino bridge bernie sanders hammers against locked cellar doors while impostor endorses clinton is life montreal quebec finally went to the new yonge amp eg vip so why is every single movie photo of men seriously anything to be done about the outage at sherbourne no power water etc almost hrs with no help being offered after a breakup it was the right decision i don t even know why i m sad starts to sob what is happening to meeeeeeee no need to watch testament of youth you can just rip your heart out of your chest yourself cats love it when you play rough a dog owner anyone here using thinking about cutting my bill in half what you don t see is that i am literally laughing out loud when i type that is the name a batman reference sign the petition to support ridesharing and tell your councillor to vote for smart regulations on may rd uber such an underrated set thanks guys made my day can t wait to see the film finally signed up onafter following along on twitter for ages already writing again such an awesome platform i wish i could bottle feelings to remember that i could feel that way what should i do if my meal shows up super late and cold"
"8","intp","analyst","nothing fucks up my heart more than the maltreatment of children and or small harmless animals idc for political preference cuz there is always some validity in all but if you think for a second children deserv people give me money when they feel sorry for my life but i m remotely unaffected so it feels like people are just handing me why is it me the person who literally doesn t want to hear anything about anyone am the one everyone tells their secrets to she lost her vest that sucks i reminded her times to grab it her wallet was in it again that sucks but it not my fault she forgot i have trouble feeling bad for people when their woes are caused by their own stupidity i m fighting it so hard but i felt it that insane wow positive feelings exist and don t cause inner turmoil who knew guys i got butterflies from a boy for the first time in my life years of life raises hand why are emotions so complicated would anyone be willing to hear me out on something to offer insight advice i have to pinpoint the date stare at the time orient myself to who i ve interacted with on text so i know my current reality does that happen to anyone else i feel like i never know what day it is or what time especially if i ve been in my head too long i often dissociate lose track of what day it is and have to reorient myself with what i do know ie if an alarm goes off only day a wk it pm and i have never been so exhausted in my entire life but for reference into what making me say this who the fuck asks someone how to you expect to find love if you have intimacy issues i can t decide do i really just not care or is this persons opinion so irrelevant not even an ounce of my energy is a warranted response i think i m the most tolerant person i ve ever met people say the worst shit to me and i shrug someone else would have thrown down i don t even think i know how to be angry i just know how to be severely agitated one of my favorite things to do is be in a room with someone and not talk the whole time just do your own silent thing simultaneously this is among the most accurate things i ve ever read about myself just took an enneagram test got w what does that mean i just spent hours alone i am living i just spent hours alone this is hell on earth for real what does being fully understood even feel like why am i the only femalei ve ever met in person screams it am and i ve already decided today is cancelled everyone stay in their beds you can t rush something if you want it to last forever yesterday the wind got up to mph and my car learned how to be jesus i fucking hate people me wow so excited to get a goodnights sleep for the first time in a week new roommate starts fucking snoring amp wakes me up at am yes right kill me instead i literally moved and pretended to save a seat for a nonexistent friend when there a whole row of empty seats and a person takes the one right next to you certain people probably for someone who doesn t like to be surrounded by people you work really hard to keep them close anstudying me intensely anyone who claims the episode was too much too chaotic and anything less than brilliant did not understand the half of it sherlock is by far my favorite show on this earth and i test people in my life based on when and how they react to things in if you can t watch bbc sherlock follow along adeptly and or make deductions prior to its blatant reveal we probably won t get along people are way too nice haha thanks for all the birthday wishes totally being intoxicated makes me feel less in control anyhow so pumped haha thank you love me some enfps thank you thanks fellow intellectual my hair feels luscious but i ll keep an eye out for greys thanks ahah i was gonna say if you were stopping at take shots i would surely die thank youuuu going on a sage old age of today is my st birthday what the fuck going on my best friend what do you want for your birthday me nothing just your friendship him well you cant have that one of my homework assignments is to watch a movie i feel hashtag blessed some interfering bone spurs huh that unfortunate me w an orthopedic assessment text book sheet music amp a tennis racket over my shoulder finally understand hsm stick to the status quo raise your hand if self saboteur should be your middle name yes sameeeee sometimes i feel likeare just my internal self but they do it all out loud me home by myself heavy breathing thank ya wow pffft new haircut and color for the new semester heck ya"
"9","intp","analyst","looking forto join the number of congressmen from both sides speaking out against this ban that clown car sure turns around fast if only someone within circle had a backbone quite true it has become a convenient replacement for critical thinking this is just embarrassing fake news has become an escape hatch from reasonable debate about the issues of our ti now that a presidential tweet can t lose sight of this amid the protests today deletingfrom my phone hoping to see you add your voice to those from both parties condemning the president reckless immigration ban welbeck again rock on dang spelling beauty goal for arsenal walbeck finishes off the silky pass from lucas appalling my whole family too it can get frustrating i slapped his hand on the way to the ring at cobo arena back in the dude was simply enormous nice a pretty good fortune came with tonight dinner can t we sneak an economics professor into the wh to teach trump how trade works smh i ve got a great life thanks the last week has been a real drag though this made my day stumbled upon the royal tenenbaums while flipping channels and now i m stuck love this movie sounds more like the north korean house science chairman you would ve thought folks might remember that meme is so appropriate here i was surprised to see soccer in all the papers on a recent trip to ireland great celly by arvi don cherry might not approve though entirely possible if he even aware the report exists which i doubt probably off the cuff nonsense brilliant"
"10","intp","analyst","i m down but when doing random nice things for people is always a dicey thing you don t know if they are going to view it as a need of approval or not tired only going to stream for about hours tonight we are live sniping in gb matches shit is crazy she was with her boyfriend she looked like she was with who i presumed was her boyfriend i just saw the most beautiful girl is it bad if i m not really worried about it i wish it was feasible to just drink caffeine all day facts i feel like she is inept and has accidentally found herself in her new position i hate it but i agree with deez i feel like she just has no idea what she doing which i m not entirely critical of her on i don t follow any of this stuff but just from hearing about how she copied michelle speech cont dm streaming tonight literally the same haha what have you been often getting lost in thought about lately i m going to stream tomorrow whens the wipe d it annoys you for the wrong reasons i clearly need to work on my time management my new favorite youtube channel watch mr nobody and validate my opinion please mr nobody is a masterpiece but everyone who i ve shown hasn t been into it sucker punch was fucking amazing youtube it it this girl i hate when a real connection isn t made fight your animistic nature that was a failed social interaction try again later i ve been reading the first half of this book for months a confession and other religious writings by tolstoy r i have a love hate relationship with the complexity of reality everything is playful you are most welcome he was my first mentor god i wish i could have met alan watts just realized alan watts said the same thing everything is playful i m live playing rust with the wolfpack is it still running in the background after you close it check background processes betchaaaa canntttt findddd meeeee i m gonna ask my other parent instead i really like your server excuse me mister can play it now play rust i wish everyone studied psychology why worry about them it another goblin day just trying to find ways to lose my balance you re really into anime now eh almost every new product does that"
